## Project Name: PAN_ICI_Melanoma_OS																																									
## Expression Matrix File Name: Expression_Data.zip																																									
## Meta Data File Name: Clinical_Data.txt																																									
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt																																									
## Survival/Event Variables: OS.time /// OS																																									
## Number of Samples: 42																																									
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets																																									
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set																																									
## Pathways were ranked by Coxph Likelihood_Ratio_Pval																																									
## Hazard Ratios > 1 represent pathway scores associated with High-Risk																																									
variable	Hazard_Ratio	ci	High_AboveMedian_Pval	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_adjPval_BH	Wald_Test_adjPval_BH	Logrank_Test_adjPval_BH	HazardAssumption_Global_Pval	Chisq	df	Criteria	Median_Score	Mean_Score	Min_Score	Max_Score	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
HALLMARK.APICAL.SURFACE	0.53	0.25, 1.15	0.11	0.548	0.1	0.1	0.1	0.384615384615385	0.384615384615385	0.384615384615385	0.065	3.41	1	High_AboveMedian	0.143437052732207	0.136234816850573	0.00568462187776176	0.225559561478536	HALLMARK.APICAL.SURFACE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.APICAL.SURFACEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	14,758	0.393	-1.60	28.0	0.25	1.15
HALLMARK.COMPLEMENT	0.54	0.25, 1.17	0.12	0.57	0.1	0.1	0.1	0.384615384615385	0.384615384615385	0.384615384615385	0.57	0.329	1	High_AboveMedian	0.333923339810429	0.336048242514158	0.16147787961031	0.475097158048008	HALLMARK.COMPLEMENT.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.COMPLEMENTHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,609	0.394	-1.56	28.0	0.25	1.17
HALLMARK.PEROXISOME	0.53	0.25, 1.14	0.10	0.584	0.1	0.1	0.1	0.384615384615385	0.384615384615385	0.384615384615385	0.86	0.0319	1	High_AboveMedian	0.3481042959112	0.346165052834008	0.298133682589316	0.38910140557405	HALLMARK.PEROXISOME.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.PEROXISOMEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,689	0.385	-1.63	28.0	0.25	1.14
HALLMARK.ANDROGEN.RESPONSE	0.64	0.30, 1.36	0.3	0.558	0.2	0.3	0.2	0.476190476190476	0.6	0.454545454545455	0.81	0.0578	1	High_AboveMedian	0.490224843623481	0.485823860638668	0.440891275907346	0.532347379636502	HALLMARK.ANDROGEN.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ANDROGEN.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	13,570	0.382	-1.15	28.0	0.30	1.36
HALLMARK.ANGIOGENESIS	1.68	0.79, 3.58	0.2	0.576	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.74	0.108	1	High_AboveMedian	0.374055896553998	0.364352959170941	0.1718483944824	0.547377336263782	HALLMARK.ANGIOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.ANGIOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	16	11,277	0.386	1.34	28.0	0.79	3.58
HALLMARK.APOPTOSIS	0.60	0.28, 1.27	0.2	0.559	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.86	0.0296	1	High_AboveMedian	0.414975674230109	0.412889170329818	0.324732487861143	0.497492082004743	HALLMARK.APOPTOSIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.APOPTOSISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,977	0.386	-1.33	28.0	0.28	1.27
HALLMARK.INTERFERON.ALPHA.RESPONSE	0.63	0.30, 1.34	0.2	0.569	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.53	0.398	1	High_AboveMedian	0.498000154415477	0.513541693373064	0.318901204660543	0.727258518790264	HALLMARK.INTERFERON.ALPHA.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.INTERFERON.ALPHA.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,322	0.383	-1.19	28.0	0.30	1.34
HALLMARK.P53.PATHWAY	0.62	0.29, 1.30	0.2	0.578	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.28	1.18	1	High_AboveMedian	0.347940758556121	0.349828771694627	0.273989608869249	0.443902345080589	HALLMARK.P53.PATHWAY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.P53.PATHWAYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,480	0.383	-1.27	28.0	0.29	1.30
HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY	0.64	0.30, 1.35	0.2	0.579	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.15	2.03	1	High_AboveMedian	0.453055054337291	0.446860772380676	0.338566569957258	0.543896504242042	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,202	0.382	-1.18	28.0	0.30	1.35
HALLMARK.WNT.BETA.CATENIN.SIGNALING	0.63	0.30, 1.34	0.2	0.543	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.47	0.519	1	High_AboveMedian	0.327205555517706	0.324547938633096	0.191935371427888	0.497633535440702	HALLMARK.WNT.BETA.CATENIN.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.WNT.BETA.CATENIN.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,289	0.386	-1.20	28.0	0.30	1.34
HALLMARK.XENOBIOTIC.METABOLISM	0.62	0.29, 1.31	0.2	0.546	0.2	0.2	0.2	0.476190476190476	0.5	0.454545454545455	0.43	0.622	1	High_AboveMedian	0.192895453877024	0.198007697086884	0.102887648026959	0.310215432468982	HALLMARK.XENOBIOTIC.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.XENOBIOTIC.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,741	0.386	-1.25	28.0	0.29	1.31
HALLMARK.CHOLESTEROL.HOMEOSTASIS	0.70	0.33, 1.48	0.3	0.526	0.3	0.3	0.3	0.6	0.6	0.6	0.22	1.5	1	High_AboveMedian	0.391562924728931	0.392805278829269	0.323267616475862	0.473986543809443	HALLMARK.CHOLESTEROL.HOMEOSTASIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.CHOLESTEROL.HOMEOSTASISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	13,694	0.384	-0.944	28.0	0.33	1.48
HALLMARK.E2F.TARGETS	1.53	0.72, 3.22	0.3	0.567	0.3	0.3	0.3	0.6	0.6	0.6	0.44	0.588	1	High_AboveMedian	0.461236156730489	0.44826727365941	0.289840021097226	0.575936942545722	HALLMARK.E2F.TARGETS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.E2F.TARGETSHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	10,266	0.381	1.11	28.0	0.72	3.22
HALLMARK.TGF.BETA.SIGNALING	0.67	0.32, 1.43	0.3	0.552	0.3	0.3	0.3	0.6	0.6	0.6	0.63	0.231	1	High_AboveMedian	0.514542232347824	0.517617865764791	0.440286263843907	0.608894580600631	HALLMARK.TGF.BETA.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.TGF.BETA.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,988	0.383	-1.03	28.0	0.32	1.43
HALLMARK.UV.RESPONSE.UP	0.65	0.30, 1.37	0.3	0.567	0.3	0.3	0.2	0.6	0.6	0.454545454545455	0.47	0.522	1	High_AboveMedian	0.319207730159944	0.321683989803759	0.24607708876426	0.369607501719211	HALLMARK.UV.RESPONSE.UP.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.UV.RESPONSE.UPHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,070	0.383	-1.15	28.0	0.30	1.37
HALLMARK.COAGULATION	1.37	0.65, 2.89	0.4	0.555	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.46	0.542	1	High_AboveMedian	0.258323634931398	0.264421836654984	0.100569775696778	0.392696992438606	HALLMARK.COAGULATION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.COAGULATIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,729	0.382	0.819	28.0	0.65	2.89
HALLMARK.G2M.CHECKPOINT	1.36	0.64, 2.86	0.4	0.539	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.95	0.00329	1	High_AboveMedian	0.478986768062755	0.476780500566477	0.33240112165504	0.591271346554879	HALLMARK.G2M.CHECKPOINT.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.G2M.CHECKPOINTHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,032	0.380	0.804	28.0	0.64	2.86
HALLMARK.GLYCOLYSIS	1.34	0.63, 2.82	0.4	0.555	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.34	0.892	1	High_AboveMedian	0.356127877008342	0.351690719031588	0.282459431190343	0.448384486137908	HALLMARK.GLYCOLYSIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.GLYCOLYSISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,197	0.380	0.761	28.0	0.63	2.82
HALLMARK.HEDGEHOG.SIGNALING	1.36	0.64, 2.86	0.4	0.544	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.92	0.0113	1	High_AboveMedian	0.329806387212326	0.323626572483893	0.21638542002943	0.443570952503232	HALLMARK.HEDGEHOG.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.HEDGEHOG.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,209	0.381	0.799	28.0	0.64	2.86
HALLMARK.INFLAMMATORY.RESPONSE	0.70	0.33, 1.50	0.4	0.539	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.68	0.174	1	High_AboveMedian	0.128429784684846	0.130605780189795	-0.0237847994996045	0.313222786813825	HALLMARK.INFLAMMATORY.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.INFLAMMATORY.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,742	0.388	-0.912	28.0	0.33	1.50
HALLMARK.KRAS.SIGNALING.DN	0.72	0.34, 1.53	0.4	0.529	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.51	0.441	1	High_AboveMedian	-0.196421440370206	-0.196167658026504	-0.248312415853152	-0.0940257860482268	HALLMARK.KRAS.SIGNALING.DN.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.KRAS.SIGNALING.DNHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	12,746	0.382	-0.849	28.0	0.34	1.53
HALLMARK.MYOGENESIS	1.38	0.65, 2.92	0.4	0.558	0.4	0.4	0.4	0.606060606060606	0.625	0.606060606060606	0.41	0.688	1	High_AboveMedian	0.197702847409401	0.196149994114909	0.111776951045798	0.311287489818084	HALLMARK.MYOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.MYOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,430	0.382	0.848	28.0	0.65	2.92
HALLMARK.TNFA.SIGNALING.VIA.NFKB	0.75	0.36, 1.58	0.5	0.536	0.4	0.5	0.4	0.606060606060606	0.714285714285714	0.606060606060606	0.86	0.0324	1	High_AboveMedian	0.268625554613376	0.267030481303572	0.135421750385162	0.45595865344783	HALLMARK.TNFA.SIGNALING.VIA.NFKB.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.TNFA.SIGNALING.VIA.NFKBHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,957	0.380	-0.755	28.0	0.36	1.58
HALLMARK.HYPOXIA	0.79	0.37, 1.68	0.5	0.513	0.5	0.5	0.5	0.714285714285714	0.714285714285714	0.714285714285714	0.42	0.641	1	High_AboveMedian	0.34498622533781	0.335877288529709	0.235486762059771	0.47779876455206	HALLMARK.HYPOXIA.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.HYPOXIAHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,072	0.383	-0.610	28.0	0.37	1.68
HALLMARK.PROTEIN.SECRETION	0.79	0.37, 1.66	0.5	0.534	0.5	0.5	0.5	0.714285714285714	0.714285714285714	0.714285714285714	0.95	0.00412	1	High_AboveMedian	0.602540934871046	0.598474452715474	0.506898215428867	0.649800334067267	HALLMARK.PROTEIN.SECRETION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.PROTEIN.SECRETIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,290	0.380	-0.633	28.0	0.37	1.66
HALLMARK.APICAL.JUNCTION	0.82	0.39, 1.74	0.6	0.506	0.6	0.6	0.6	0.769230769230769	0.769230769230769	0.769230769230769	0.34	0.906	1	High_AboveMedian	0.315426409496591	0.322990997529675	0.238207785554127	0.440907108033604	HALLMARK.APICAL.JUNCTION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.APICAL.JUNCTIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,708	0.383	-0.517	28.0	0.39	1.74
HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION	0.81	0.38, 1.72	0.6	0.514	0.6	0.6	0.6	0.769230769230769	0.769230769230769	0.769230769230769	0.6	0.274	1	High_AboveMedian	0.386150608143936	0.39564920062072	0.213694613446275	0.645817237156546	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,709	0.383	-0.540	28.0	0.38	1.72
HALLMARK.KRAS.SIGNALING.UP	0.84	0.39, 1.77	0.6	0.508	0.6	0.6	0.6	0.769230769230769	0.769230769230769	0.769230769230769	0.47	0.521	1	High_AboveMedian	0.171131830777321	0.189340924686673	0.0496283270576516	0.328743568809685	HALLMARK.KRAS.SIGNALING.UP.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.KRAS.SIGNALING.UPHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,417	0.383	-0.469	28.0	0.39	1.77
HALLMARK.UNFOLDED.PROTEIN.RESPONSE	0.82	0.39, 1.72	0.6	0.548	0.6	0.6	0.6	0.769230769230769	0.769230769230769	0.769230769230769	0.22	1.49	1	High_AboveMedian	0.553723019111054	0.553595125827365	0.495799043189022	0.606065465425787	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.UNFOLDED.PROTEIN.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	14,118	0.380	-0.532	28.0	0.39	1.72
HALLMARK.BILE.ACID.METABOLISM	1.15	0.55, 2.42	0.7	0.541	0.7	0.7	0.7	0.795454545454546	0.795454545454546	0.795454545454546	0.21	1.6	1	High_AboveMedian	0.15537367761813	0.15779733629664	0.111875092213231	0.233560059164549	HALLMARK.BILE.ACID.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.BILE.ACID.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	11,690	0.379	0.372	28.0	0.55	2.42
HALLMARK.DNA.REPAIR	1.15	0.55, 2.41	0.7	0.505	0.7	0.7	0.7	0.795454545454546	0.795454545454546	0.795454545454546	0.54	0.37	1	High_AboveMedian	0.409281530558829	0.405461027367574	0.304831941249886	0.459425771910534	HALLMARK.DNA.REPAIR.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.DNA.REPAIRHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,410	0.379	0.363	28.0	0.55	2.41
HALLMARK.MITOTIC.SPINDLE	1.14	0.54, 2.40	0.7	0.525	0.7	0.7	0.7	0.795454545454546	0.795454545454546	0.795454545454546	0.76	0.0952	1	High_AboveMedian	0.589981353886407	0.590715870250224	0.535859621751041	0.647230836350786	HALLMARK.MITOTIC.SPINDLE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.MITOTIC.SPINDLEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	11,317	0.380	0.346	28.0	0.54	2.40
HALLMARK.OXIDATIVE.PHOSPHORYLATION	1.15	0.55, 2.42	0.7	0.501	0.7	0.7	0.7	0.795454545454546	0.795454545454546	0.795454545454546	0.37	0.806	1	High_AboveMedian	0.545654062137378	0.541432481636221	0.443790597350236	0.627267347812109	HALLMARK.OXIDATIVE.PHOSPHORYLATION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.OXIDATIVE.PHOSPHORYLATIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,376	0.379	0.370	28.0	0.55	2.42
HALLMARK.SPERMATOGENESIS	1.18	0.56, 2.47	0.7	0.507	0.7	0.7	0.7	0.795454545454546	0.795454545454546	0.795454545454546	0.47	0.511	1	High_AboveMedian	-0.0330254186753298	-0.0338557927710014	-0.121658140359791	0.0320677760706048	HALLMARK.SPERMATOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.SPERMATOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,847	0.379	0.426	28.0	0.56	2.47
HALLMARK.MTORC1.SIGNALING	0.90	0.43, 1.89	0.8	0.523	0.8	0.8	0.8	0.833333333333333	0.833333333333333	0.833333333333333	0.62	0.242	1	High_AboveMedian	0.513154326158167	0.515308517170005	0.438968381082453	0.591020040253146	HALLMARK.MTORC1.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.MTORC1.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	13,453	0.379	-0.283	28.0	0.43	1.89
HALLMARK.MYC.TARGETS.V2	1.09	0.52, 2.29	0.8	0.491	0.8	0.8	0.8	0.833333333333333	0.833333333333333	0.833333333333333	0.29	1.1	1	High_AboveMedian	0.443052119421317	0.437086609063626	0.245956939459375	0.55848480153928	HALLMARK.MYC.TARGETS.V2.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.MYC.TARGETS.V2High_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,879	0.379	0.223	28.0	0.52	2.29
HALLMARK.PANCREAS.BETA.CELLS	0.90	0.43, 1.89	0.8	0.535	0.8	0.8	0.8	0.833333333333333	0.833333333333333	0.833333333333333	0.2	1.62	1	High_AboveMedian	-0.169374356278692	-0.169244369461965	-0.235577987090431	-0.120548722299716	HALLMARK.PANCREAS.BETA.CELLS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	HALLMARK.PANCREAS.BETA.CELLSHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	12,751	0.379	-0.284	28.0	0.43	1.89
