## Project Name: PAN_ICI_Melanoma_OS
## Expression Matrix File Name: Expression_Data.zip
## Meta Data File Name: Clinical_Data.txt
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt
## Survival/Event Variables: OS.time /// OS
## Number of Samples: 42
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set
## Pathways were ranked by Coxph Likelihood_Ratio_Pval
## Hazard Ratios > 1 represent pathway scores associated with High-Risk
variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	High_AboveMedian_Pval	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Chisq	df	HazardAssumption_Global_Pval	Median_Score	Mean_Score	Min_Score	Max_Score
HALLMARK.E2F.TARGETS	HALLMARK.E2F.TARGETS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.E2F.TARGETSHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	10,266	1.53	0.381	1.11	28.0	0.72	3.22	0.72, 3.22	0.3	0.567	0.3	0.3	0.3	0.588	1	0.44	0.461236156730489	0.44826727365941	0.289840021097226	0.575936942545722
HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,709	0.81	0.383	-0.540	28.0	0.38	1.72	0.38, 1.72	0.6	0.514	0.6	0.6	0.6	0.274	1	0.6	0.386150608143936	0.39564920062072	0.213694613446275	0.645817237156546
HALLMARK.ESTROGEN.RESPONSE.EARLY	HALLMARK.ESTROGEN.RESPONSE.EARLY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.EARLYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,305	0.44	0.400	-2.04	28.0	0.20	0.97	0.20, 0.97	0.041	0.57	0.04	0.04	0.04	3.97	1	0.046	0.190708472135466	0.191825215154198	0.10785797069505	0.303999749614688
HALLMARK.ESTROGEN.RESPONSE.LATE	HALLMARK.ESTROGEN.RESPONSE.LATE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.LATEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,135	0.44	0.400	-2.03	28.0	0.20	0.97	0.20, 0.97	0.043	0.568	0.04	0.04	0.04	4.1	1	0.043	0.151859446217244	0.156340526087376	0.0655222973781597	0.30191931590025
HALLMARK.FATTY.ACID.METABOLISM	HALLMARK.FATTY.ACID.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.FATTY.ACID.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	13,064	0.97	0.379	-0.087	28.0	0.46	2.03	0.46, 2.03	>0.9	0.509	0.9	0.9	0.9	0.051	1	0.82	0.368716405922455	0.36537860645775	0.287869621993495	0.419916432127241
HALLMARK.G2M.CHECKPOINT	HALLMARK.G2M.CHECKPOINT.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.G2M.CHECKPOINTHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,032	1.36	0.380	0.804	28.0	0.64	2.86	0.64, 2.86	0.4	0.539	0.4	0.4	0.4	0.00329	1	0.95	0.478986768062755	0.476780500566477	0.33240112165504	0.591271346554879
HALLMARK.GLYCOLYSIS	HALLMARK.GLYCOLYSIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.GLYCOLYSISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,197	1.34	0.380	0.761	28.0	0.63	2.82	0.63, 2.82	0.4	0.555	0.4	0.4	0.4	0.892	1	0.34	0.356127877008342	0.351690719031588	0.282459431190343	0.448384486137908
HALLMARK.HEDGEHOG.SIGNALING	HALLMARK.HEDGEHOG.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.HEDGEHOG.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,209	1.36	0.381	0.799	28.0	0.64	2.86	0.64, 2.86	0.4	0.544	0.4	0.4	0.4	0.0113	1	0.92	0.329806387212326	0.323626572483893	0.21638542002943	0.443570952503232
HALLMARK.HEME.METABOLISM	HALLMARK.HEME.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.HEME.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	17,113	0.31	0.401	-2.92	28.0	0.14	0.68	0.14, 0.68	0.003	0.657	0.003	0.003	0.002	0.677	1	0.41	0.293440212673238	0.294021186281676	0.230292897369296	0.332952555945105
HALLMARK.HYPOXIA	HALLMARK.HYPOXIA.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.HYPOXIAHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,072	0.79	0.383	-0.610	28.0	0.37	1.68	0.37, 1.68	0.5	0.513	0.5	0.5	0.5	0.641	1	0.42	0.34498622533781	0.335877288529709	0.235486762059771	0.47779876455206
HALLMARK.IL2.STAT5.SIGNALING	HALLMARK.IL2.STAT5.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.IL2.STAT5.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	15,082	0.50	0.391	-1.80	28.0	0.23	1.07	0.23, 1.07	0.072	0.578	0.07	0.07	0.07	0.216	1	0.64	0.242990095324104	0.241045803156028	0.142025527487987	0.359652288631836
HALLMARK.IL6.JAK.STAT3.SIGNALING	HALLMARK.IL6.JAK.STAT3.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.IL6.JAK.STAT3.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,735	0.52	0.394	-1.68	28.0	0.24	1.12	0.24, 1.12	0.093	0.584	0.09	0.09	0.09	0.00688	1	0.93	0.151166738298948	0.16101799154391	-0.0483466954025631	0.358595524244232
HALLMARK.INFLAMMATORY.RESPONSE	HALLMARK.INFLAMMATORY.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.INFLAMMATORY.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,742	0.70	0.388	-0.912	28.0	0.33	1.50	0.33, 1.50	0.4	0.539	0.4	0.4	0.4	0.174	1	0.68	0.128429784684846	0.130605780189795	-0.0237847994996045	0.313222786813825
HALLMARK.INTERFERON.ALPHA.RESPONSE	HALLMARK.INTERFERON.ALPHA.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.INTERFERON.ALPHA.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,322	0.63	0.383	-1.19	28.0	0.30	1.34	0.30, 1.34	0.2	0.569	0.2	0.2	0.2	0.398	1	0.53	0.498000154415477	0.513541693373064	0.318901204660543	0.727258518790264
HALLMARK.INTERFERON.GAMMA.RESPONSE	HALLMARK.INTERFERON.GAMMA.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.INTERFERON.GAMMA.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	16,667	0.45	0.395	-2.03	28.0	0.21	0.97	0.21, 0.97	0.043	0.612	0.04	0.04	0.04	0.729	1	0.39	0.439406584770405	0.458618886073128	0.22602084009158	0.677491274371401
HALLMARK.KRAS.SIGNALING.DN	HALLMARK.KRAS.SIGNALING.DN.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.KRAS.SIGNALING.DNHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	12,746	0.72	0.382	-0.849	28.0	0.34	1.53	0.34, 1.53	0.4	0.529	0.4	0.4	0.4	0.441	1	0.51	-0.196421440370206	-0.196167658026504	-0.248312415853152	-0.0940257860482268
HALLMARK.KRAS.SIGNALING.UP	HALLMARK.KRAS.SIGNALING.UP.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.KRAS.SIGNALING.UPHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,417	0.84	0.383	-0.469	28.0	0.39	1.77	0.39, 1.77	0.6	0.508	0.6	0.6	0.6	0.521	1	0.47	0.171131830777321	0.189340924686673	0.0496283270576516	0.328743568809685
HALLMARK.MITOTIC.SPINDLE	HALLMARK.MITOTIC.SPINDLE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.MITOTIC.SPINDLEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	11,317	1.14	0.380	0.346	28.0	0.54	2.40	0.54, 2.40	0.7	0.525	0.7	0.7	0.7	0.0952	1	0.76	0.589981353886407	0.590715870250224	0.535859621751041	0.647230836350786
HALLMARK.MTORC1.SIGNALING	HALLMARK.MTORC1.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.MTORC1.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	13,453	0.90	0.379	-0.283	28.0	0.43	1.89	0.43, 1.89	0.8	0.523	0.8	0.8	0.8	0.242	1	0.62	0.513154326158167	0.515308517170005	0.438968381082453	0.591020040253146
HALLMARK.MYC.TARGETS.V1	HALLMARK.MYC.TARGETS.V1.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.MYC.TARGETS.V1High_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	12,441	0.99	0.378	-0.035	28.0	0.47	2.07	0.47, 2.07	>0.9	0.509	1	1	1	0.0512	1	0.82	0.685254896685577	0.674717686311154	0.546501191060325	0.751687584146848
HALLMARK.MYC.TARGETS.V2	HALLMARK.MYC.TARGETS.V2.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.MYC.TARGETS.V2High_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,879	1.09	0.379	0.223	28.0	0.52	2.29	0.52, 2.29	0.8	0.491	0.8	0.8	0.8	1.1	1	0.29	0.443052119421317	0.437086609063626	0.245956939459375	0.55848480153928
HALLMARK.MYOGENESIS	HALLMARK.MYOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.MYOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,430	1.38	0.382	0.848	28.0	0.65	2.92	0.65, 2.92	0.4	0.558	0.4	0.4	0.4	0.688	1	0.41	0.197702847409401	0.196149994114909	0.111776951045798	0.311287489818084
HALLMARK.NOTCH.SIGNALING	HALLMARK.NOTCH.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.NOTCH.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	10	15,439	0.39	0.397	-2.36	28.0	0.18	0.85	0.18, 0.85	0.018	0.612	0.02	0.02	0.01	0.00737	1	0.93	0.380359761092533	0.378802699670923	0.265255309124852	0.494907894557865
HALLMARK.OXIDATIVE.PHOSPHORYLATION	HALLMARK.OXIDATIVE.PHOSPHORYLATION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.OXIDATIVE.PHOSPHORYLATIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	12,376	1.15	0.379	0.370	28.0	0.55	2.42	0.55, 2.42	0.7	0.501	0.7	0.7	0.7	0.806	1	0.37	0.545654062137378	0.541432481636221	0.443790597350236	0.627267347812109
HALLMARK.P53.PATHWAY	HALLMARK.P53.PATHWAY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.P53.PATHWAYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,480	0.62	0.383	-1.27	28.0	0.29	1.30	0.29, 1.30	0.2	0.578	0.2	0.2	0.2	1.18	1	0.28	0.347940758556121	0.349828771694627	0.273989608869249	0.443902345080589
HALLMARK.PANCREAS.BETA.CELLS	HALLMARK.PANCREAS.BETA.CELLS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.PANCREAS.BETA.CELLSHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	12,751	0.90	0.379	-0.284	28.0	0.43	1.89	0.43, 1.89	0.8	0.535	0.8	0.8	0.8	1.62	1	0.2	-0.169374356278692	-0.169244369461965	-0.235577987090431	-0.120548722299716
HALLMARK.PEROXISOME	HALLMARK.PEROXISOME.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.PEROXISOMEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	15,689	0.53	0.385	-1.63	28.0	0.25	1.14	0.25, 1.14	0.10	0.584	0.1	0.1	0.1	0.0319	1	0.86	0.3481042959112	0.346165052834008	0.298133682589316	0.38910140557405
HALLMARK.PI3K.AKT.MTOR.SIGNALING	HALLMARK.PI3K.AKT.MTOR.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.PI3K.AKT.MTOR.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	11	17,658	0.32	0.394	-2.92	28.0	0.15	0.69	0.15, 0.69	0.004	0.677	0.003	0.004	0.002	5.98	1	0.014	0.44882302188932	0.447260605468417	0.378719051324975	0.497875012000943
HALLMARK.PROTEIN.SECRETION	HALLMARK.PROTEIN.SECRETION.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.PROTEIN.SECRETIONHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,290	0.79	0.380	-0.633	28.0	0.37	1.66	0.37, 1.66	0.5	0.534	0.5	0.5	0.5	0.00412	1	0.95	0.602540934871046	0.598474452715474	0.506898215428867	0.649800334067267
HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAYHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,202	0.64	0.382	-1.18	28.0	0.30	1.35	0.30, 1.35	0.2	0.579	0.2	0.2	0.2	2.03	1	0.15	0.453055054337291	0.446860772380676	0.338566569957258	0.543896504242042
HALLMARK.SPERMATOGENESIS	HALLMARK.SPERMATOGENESIS.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.SPERMATOGENESISHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	15	11,847	1.18	0.379	0.426	28.0	0.56	2.47	0.56, 2.47	0.7	0.507	0.7	0.7	0.7	0.511	1	0.47	-0.0330254186753298	-0.0338557927710014	-0.121658140359791	0.0320677760706048
HALLMARK.TGF.BETA.SIGNALING	HALLMARK.TGF.BETA.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.TGF.BETA.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	14,988	0.67	0.383	-1.03	28.0	0.32	1.43	0.32, 1.43	0.3	0.552	0.3	0.3	0.3	0.231	1	0.63	0.514542232347824	0.517617865764791	0.440286263843907	0.608894580600631
HALLMARK.TNFA.SIGNALING.VIA.NFKB	HALLMARK.TNFA.SIGNALING.VIA.NFKB.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.TNFA.SIGNALING.VIA.NFKBHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	13,957	0.75	0.380	-0.755	28.0	0.36	1.58	0.36, 1.58	0.5	0.536	0.4	0.5	0.4	0.0324	1	0.86	0.268625554613376	0.267030481303572	0.135421750385162	0.45595865344783
HALLMARK.UNFOLDED.PROTEIN.RESPONSE	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.UNFOLDED.PROTEIN.RESPONSEHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	14,118	0.82	0.380	-0.532	28.0	0.39	1.72	0.39, 1.72	0.6	0.548	0.6	0.6	0.6	1.49	1	0.22	0.553723019111054	0.553595125827365	0.495799043189022	0.606065465425787
HALLMARK.UV.RESPONSE.DN	HALLMARK.UV.RESPONSE.DN.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.UV.RESPONSE.DNHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	14	13,399	0.93	0.380	-0.196	28.0	0.44	1.95	0.44, 1.95	0.8	0.514	0.8	0.8	0.8	0.283	1	0.59	0.488058729852752	0.492783401191526	0.410870980321415	0.591067059563272
HALLMARK.UV.RESPONSE.UP	HALLMARK.UV.RESPONSE.UP.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.UV.RESPONSE.UPHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	13	15,070	0.65	0.383	-1.15	28.0	0.30	1.37	0.30, 1.37	0.3	0.567	0.3	0.3	0.2	0.522	1	0.47	0.319207730159944	0.321683989803759	0.24607708876426	0.369607501719211
HALLMARK.WNT.BETA.CATENIN.SIGNALING	HALLMARK.WNT.BETA.CATENIN.SIGNALING.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.WNT.BETA.CATENIN.SIGNALINGHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,289	0.63	0.386	-1.20	28.0	0.30	1.34	0.30, 1.34	0.2	0.543	0.2	0.2	0.2	0.519	1	0.47	0.327205555517706	0.324547938633096	0.191935371427888	0.497633535440702
HALLMARK.XENOBIOTIC.METABOLISM	HALLMARK.XENOBIOTIC.METABOLISM.MedianCutP	dichotomous	FALSE	level	FALSE	42	28	42	prop_hazard	HR	High_AboveMedian	HALLMARK.XENOBIOTIC.METABOLISMHigh_AboveMedian	factor	2.00	contr.treatment	treatment	21	12	14,741	0.62	0.386	-1.25	28.0	0.29	1.31	0.29, 1.31	0.2	0.546	0.2	0.2	0.2	0.622	1	0.43	0.192895453877024	0.198007697086884	0.102887648026959	0.310215432468982
