SampleName	HALLMARK.ADIPOGENESIS_BIN	HALLMARK.ALLOGRAFT.REJECTION_BIN	HALLMARK.ANDROGEN.RESPONSE_BIN	HALLMARK.ANGIOGENESIS_BIN	HALLMARK.APICAL.JUNCTION_BIN	HALLMARK.APICAL.SURFACE_BIN	HALLMARK.APOPTOSIS_BIN	HALLMARK.BILE.ACID.METABOLISM_BIN	HALLMARK.CHOLESTEROL.HOMEOSTASIS_BIN	HALLMARK.COAGULATION_BIN	HALLMARK.COMPLEMENT_BIN	HALLMARK.DNA.REPAIR_BIN	HALLMARK.E2F.TARGETS_BIN	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION_BIN	HALLMARK.ESTROGEN.RESPONSE.EARLY_BIN	HALLMARK.ESTROGEN.RESPONSE.LATE_BIN	HALLMARK.FATTY.ACID.METABOLISM_BIN	HALLMARK.G2M.CHECKPOINT_BIN	HALLMARK.GLYCOLYSIS_BIN	HALLMARK.HEDGEHOG.SIGNALING_BIN	HALLMARK.HEME.METABOLISM_BIN	HALLMARK.HYPOXIA_BIN	HALLMARK.IL2.STAT5.SIGNALING_BIN	HALLMARK.IL6.JAK.STAT3.SIGNALING_BIN	HALLMARK.INFLAMMATORY.RESPONSE_BIN	HALLMARK.INTERFERON.ALPHA.RESPONSE_BIN	HALLMARK.INTERFERON.GAMMA.RESPONSE_BIN	HALLMARK.KRAS.SIGNALING.DN_BIN	HALLMARK.KRAS.SIGNALING.UP_BIN	HALLMARK.MITOTIC.SPINDLE_BIN	HALLMARK.MTORC1.SIGNALING_BIN	HALLMARK.MYC.TARGETS.V1_BIN	HALLMARK.MYC.TARGETS.V2_BIN	HALLMARK.MYOGENESIS_BIN	HALLMARK.NOTCH.SIGNALING_BIN	HALLMARK.OXIDATIVE.PHOSPHORYLATION_BIN	HALLMARK.P53.PATHWAY_BIN	HALLMARK.PANCREAS.BETA.CELLS_BIN	HALLMARK.PEROXISOME_BIN	HALLMARK.PI3K.AKT.MTOR.SIGNALING_BIN	HALLMARK.PROTEIN.SECRETION_BIN	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY_BIN	HALLMARK.SPERMATOGENESIS_BIN	HALLMARK.TGF.BETA.SIGNALING_BIN	HALLMARK.TNFA.SIGNALING.VIA.NFKB_BIN	HALLMARK.UNFOLDED.PROTEIN.RESPONSE_BIN	HALLMARK.UV.RESPONSE.DN_BIN	HALLMARK.UV.RESPONSE.UP_BIN	HALLMARK.WNT.BETA.CATENIN.SIGNALING_BIN	HALLMARK.XENOBIOTIC.METABOLISM_BIN
Gide_Cell_2019.iP13.ar.891	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian
Gide_Cell_2019.iP13.ar.892	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian
Gide_Cell_2019.iP14.ar.893	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP15.ar.894	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP17.ar.895	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP19.ar.896	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian
Gide_Cell_2019.iP19.ar.897	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP20.ar.899	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP21.ar.900	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP23.ar.901	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian
Gide_Cell_2019.iP24.ar.902	High_AboveMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian
Gide_Cell_2019.iP25.ar.903	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	High_AboveMedian	Low_BelowMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian	High_AboveMedian	Low_BelowMedian
