## Project Name: Pan_ICI_iAtlas_Skin_OS																																		
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip																																		
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt																																		
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt																																		
## Survival/Event Variables: OS.time /// OS																																		
## Number of Samples: 382																																		
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets																																		
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set																																		
## Pathways were ranked by Coxph P.value																																		
## Hazard Ratios > 1 represent pathway scores associated with High-Risk																																		
variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
HALLMARK.PANCREAS.BETA.CELLS	1.18	0.89, 1.56	0.2	0.516	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HALLMARK.PANCREAS.BETA.CELLS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.PANCREAS.BETA.CELLS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	105	104,575	0.141	1.17	201	0.89	1.56
HALLMARK.PEROXISOME	1.20	0.91, 1.59	0.2	0.523	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HALLMARK.PEROXISOME.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.PEROXISOME.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	108	109,059	0.142	1.30	201	0.91	1.59
HALLMARK.APOPTOSIS	0.87	0.66, 1.15	0.3	0.53	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.APOPTOSIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.APOPTOSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	96	113,596	0.141	-1.00	201	0.66	1.15
HALLMARK.ESTROGEN.RESPONSE.LATE	0.87	0.66, 1.15	0.3	0.527	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.LATE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ESTROGEN.RESPONSE.LATE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	95	112,265	0.141	-0.96	201	0.66	1.15
HALLMARK.HYPOXIA	1.15	0.87, 1.52	0.3	0.516	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.HYPOXIA.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.HYPOXIA.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	105	109,445	0.141	0.98	201	0.87	1.52
HALLMARK.KRAS.SIGNALING.DN	0.86	0.65, 1.13	0.3	0.517	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.KRAS.SIGNALING.DN.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.KRAS.SIGNALING.DN.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	194	97	117,609	0.141	-1.09	201	0.65	1.13
HALLMARK.UV.RESPONSE.DN	0.86	0.65, 1.14	0.3	0.513	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.UV.RESPONSE.DN.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.UV.RESPONSE.DN.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	194	95	115,352	0.142	-1.05	201	0.65	1.14
HALLMARK.XENOBIOTIC.METABOLISM	0.86	0.65, 1.14	0.3	0.52	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	HALLMARK.XENOBIOTIC.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.XENOBIOTIC.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	96	115,733	0.141	-1.06	201	0.65	1.14
HALLMARK.APICAL.SURFACE	0.89	0.67, 1.17	0.4	0.526	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	HALLMARK.APICAL.SURFACE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.APICAL.SURFACE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	98	114,568	0.141	-0.850	201	0.67	1.17
HALLMARK.E2F.TARGETS	1.13	0.85, 1.49	0.4	0.522	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	HALLMARK.E2F.TARGETS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.E2F.TARGETS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	192	101	104,322	0.141	0.844	201	0.85	1.49
HALLMARK.MYOGENESIS	0.89	0.67, 1.17	0.4	0.507	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	HALLMARK.MYOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.MYOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	96	114,925	0.142	-0.852	201	0.67	1.17
HALLMARK.ADIPOGENESIS	1.09	0.83, 1.44	0.5	0.51	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.ADIPOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ADIPOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	103	109,600	0.141	0.624	201	0.83	1.44
HALLMARK.APICAL.JUNCTION	0.92	0.70, 1.21	0.5	0.508	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.APICAL.JUNCTION.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.APICAL.JUNCTION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	192	99	117,167	0.142	-0.598	201	0.70	1.21
HALLMARK.FATTY.ACID.METABOLISM	1.09	0.83, 1.44	0.5	0.508	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.FATTY.ACID.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.FATTY.ACID.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	103	108,391	0.141	0.627	201	0.83	1.44
HALLMARK.MTORC1.SIGNALING	1.09	0.83, 1.44	0.5	0.502	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.MTORC1.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.MTORC1.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	103	107,882	0.141	0.629	201	0.83	1.44
HALLMARK.PI3K.AKT.MTOR.SIGNALING	0.91	0.69, 1.20	0.5	0.524	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.PI3K.AKT.MTOR.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.PI3K.AKT.MTOR.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	99	113,247	0.141	-0.639	201	0.69	1.20
HALLMARK.WNT.BETA.CATENIN.SIGNALING	0.90	0.68, 1.19	0.5	0.505	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	HALLMARK.WNT.BETA.CATENIN.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.WNT.BETA.CATENIN.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	97	114,803	0.141	-0.720	201	0.68	1.19
HALLMARK.NOTCH.SIGNALING	0.92	0.70, 1.22	0.6	0.503	0.6	0.6	0.6	0.6	0.6	0.6	High_AboveMedian	HALLMARK.NOTCH.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.NOTCH.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	95	110,211	0.141	-0.567	201	0.70	1.22
HALLMARK.ANDROGEN.RESPONSE	0.97	0.73, 1.28	0.8	0.51	0.8	0.8	0.8	0.8	0.8	0.8	High_AboveMedian	HALLMARK.ANDROGEN.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ANDROGEN.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	99	110,835	0.141	-0.223	201	0.73	1.28
HALLMARK.ANGIOGENESIS	1.03	0.78, 1.36	0.8	0.506	0.8	0.8	0.8	0.8	0.8	0.8	High_AboveMedian	HALLMARK.ANGIOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ANGIOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	101	110,813	0.141	0.230	201	0.78	1.36
HALLMARK.CHOLESTEROL.HOMEOSTASIS	1.04	0.79, 1.37	0.8	0.502	0.8	0.8	0.8	0.8	0.8	0.8	High_AboveMedian	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.CHOLESTEROL.HOMEOSTASIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	101	109,299	0.141	0.253	201	0.79	1.37
HALLMARK.P53.PATHWAY	1.03	0.78, 1.36	0.8	0.488	0.8	0.8	0.8	0.8	0.8	0.8	High_AboveMedian	HALLMARK.P53.PATHWAY.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.P53.PATHWAY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	104	112,231	0.141	0.206	201	0.78	1.36
HALLMARK.ESTROGEN.RESPONSE.EARLY	1.02	0.77, 1.34	0.9	0.49	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.EARLY.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.ESTROGEN.RESPONSE.EARLY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	102	111,081	0.141	0.128	201	0.77	1.34
HALLMARK.G2M.CHECKPOINT	1.02	0.77, 1.34	0.9	0.509	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	HALLMARK.G2M.CHECKPOINT.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.G2M.CHECKPOINT.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	192	97	105,618	0.141	0.131	201	0.77	1.34
HALLMARK.HEDGEHOG.SIGNALING	0.99	0.75, 1.31	0.9	0.497	1	1	1	1	1	1	High_AboveMedian	HALLMARK.HEDGEHOG.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.HEDGEHOG.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	102	113,663	0.141	-0.043	201	0.75	1.31
HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY	0.98	0.74, 1.29	0.9	0.51	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	100	111,801	0.141	-0.151	201	0.74	1.29
HALLMARK.SPERMATOGENESIS	0.98	0.74, 1.29	0.9	0.5	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	HALLMARK.SPERMATOGENESIS.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.SPERMATOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	194	99	111,045	0.141	-0.156	201	0.74	1.29
HALLMARK.UV.RESPONSE.UP	0.98	0.74, 1.30	0.9	0.518	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	HALLMARK.UV.RESPONSE.UP.BIN	dichotomous	FALSE	level	FALSE	382	201	382	prop_hazard	HR	HALLMARK.UV.RESPONSE.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	103	113,891	0.141	-0.126	201	0.74	1.30
