term	gene
H.Gingiva.Normal.MesenchymalStemCell.29604386	NT5E
H.Gingiva.Normal.MesenchymalStemCell.29604386	THY1
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	ENG
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	CD14
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	PECAM1
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	CD34
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	CD44
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	NT5E
H.Undefined.Glioblastoma.MesenchymalStemCell.29590646	THY1
H.PeripheralBlood.Normal.Monocyte.29579044	CD14
H.PeripheralBlood.Normal.Monocyte.29579044	CD19
H.PeripheralBlood.Normal.Monocyte.29579044	MS4A1
H.PeripheralBlood.Normal.Monocyte.29579044	CD27
H.PeripheralBlood.Normal.Monocyte.29579044	CD3D
H.PeripheralBlood.Normal.Monocyte.29579044	CD3E
H.PeripheralBlood.Normal.Monocyte.29579044	CD3G
H.PeripheralBlood.Normal.Monocyte.29579044	CD38
H.PeripheralBlood.Normal.Monocyte.29579044	CD79A
H.PeripheralBlood.Normal.Monocyte.29579044	IgG family
H.PeripheralBlood.Normal.BCell.25187226	CD19
H.PeripheralBlood.Normal.BCell.25187226	CD27
H.PeripheralBlood.Normal.BCell.25187226	CD38
H.PeripheralBlood.Normal.BCell.25187226	PTPRC
H.PeripheralBlood.Normal.BCell.25187226	IgD family
H.PeripheralBlood.Normal.BCell.25187226	ZAP70
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	MCAM
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	THY1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	KLF4
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	"NANOG"
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	NES
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	POU5F1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	PDGFRB
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29214313	SOX2
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	CA12
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	CD24
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	FOXF1
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	KRT19
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	PAX1
H.NucleusPulposus.Normal.NucleusPulposusCell.24972717	PTN
H.Urine.Normal.Urine.DerivedStemCell.28409292	ENG
H.Urine.Normal.Urine.DerivedStemCell.28409292	MCAM
H.Urine.Normal.Urine.DerivedStemCell.28409292	CD34
H.Urine.Normal.Urine.DerivedStemCell.28409292	PTPRC
H.Urine.Normal.Urine.DerivedStemCell.28409292	NT5E
H.Urine.Normal.Urine.DerivedStemCell.28409292	THY1
H.Urine.Normal.Urine.DerivedStemCell.28409292	POU5F1
H.Urine.Normal.Urine.DerivedStemCell.28409292	NA
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	ITGAL
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	ITGAM
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	SIGLEC5
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	SIRPG
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	ITGB2
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CCR5
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD2
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	LY9
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD28
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD3D
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD3E
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD3G
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	LAIR1
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	SLAMF7
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	FCGR2A
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	FCGR2B
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	FCGR2C
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	SLAMF6
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD4
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	SPN
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	PTPRC
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	NA
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	PTPRC
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD48
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD5
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	ICAM3
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD52
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD53
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD6
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD6
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD69
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD7
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	LILRB3
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD86
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CD96
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	CCR8
H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899	HLA-DR family
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	IL3RA
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	CDH5
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	A4GALT
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	TEK
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	INSR
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	TSPAN7
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	TNFRSF17
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	BMPR1A
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	KDR
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	FGFR2
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	CEA family
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	CEACAM3
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	NT5E
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	PROCR
H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899	NA
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	PECAM1
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	CD34
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	CD44
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	PTPRC
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	NT5E
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	THY1
H.AdiposeTissue.Normal.MesenchymalStemCell.24978442	ENG
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	B2M
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	ENG
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	ANPEP
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	BSG
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD151
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD276
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	ITGB1
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD44
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD47
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD59
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	NT5E
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	CD81
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	THY1
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	SLC3A2
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	HLA-ABC family
H.BoneMarrow.Normal.MesenchymalStromalCell.29338788	VIM
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGAM
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGAX
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD14
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD1D
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	INSR
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD226
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD24
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD244
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	SIGLEC7
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD33
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ENTPD1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	GP1BA
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD46
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGA1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGA4
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGA5
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ITGA6
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD52
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD53
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	ICAM1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	NCAM1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	SELL
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	SELP
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CEACAM1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CEACAM6
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CEACAM5
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD69
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	TFRC
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD81
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	CD84
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	LILRB2
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	LILRA2
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	LILRB1
H.PeripheralBlood.Normal.Myeloid.DerivedSuppressorCell.29108995	LILRB4ITGAM
H.Brain.Glioblastoma.CancerStemCell.27354342	CADM1
H.Brain.Glioblastoma.CancerStemCell.27354342	CLCC1
H.Brain.Glioblastoma.CancerStemCell.27354342	HMOX1
H.Brain.Glioblastoma.CancerStemCell.27354342	SCAMP3
H.Brain.Glioblastoma.CancerStemCell.27354342	SLC16A1
H.Blood.Normal.CirculatingFetalCell.24217417	ACTB
H.Blood.Normal.CirculatingFetalCell.24217417	ATF4
H.Blood.Normal.CirculatingFetalCell.24217417	CD33
H.Blood.Normal.CirculatingFetalCell.24217417	CD68
H.Blood.Normal.CirculatingFetalCell.24217417	CD9
H.Blood.Normal.CirculatingFetalCell.24217417	CDC42
H.Blood.Normal.CirculatingFetalCell.24217417	CLDN6
H.Blood.Normal.CirculatingFetalCell.24217417	COL1A2
H.Blood.Normal.CirculatingFetalCell.24217417	CRABP1
H.Blood.Normal.CirculatingFetalCell.24217417	CRIP1
H.Blood.Normal.CirculatingFetalCell.24217417	CRYL1
H.Blood.Normal.CirculatingFetalCell.24217417	CTNNB1
H.Blood.Normal.CirculatingFetalCell.24217417	DLX5
H.Blood.Normal.CirculatingFetalCell.24217417	EN1
H.Blood.Normal.CirculatingFetalCell.24217417	F11R
H.Blood.Normal.CirculatingFetalCell.24217417	NA
H.Blood.Normal.CirculatingFetalCell.24217417	FOXA2
H.Blood.Normal.CirculatingFetalCell.24217417	GATA5
H.Blood.Normal.CirculatingFetalCell.24217417	HAMP
H.Blood.Normal.CirculatingFetalCell.24217417	HMGA1
H.Blood.Normal.CirculatingFetalCell.24217417	IL7R
H.Blood.Normal.CirculatingFetalCell.24217417	JUN
H.Blood.Normal.CirculatingFetalCell.24217417	JUNB
H.Blood.Normal.CirculatingFetalCell.24217417	KCNQ4
H.Blood.Normal.CirculatingFetalCell.24217417	MCAM
H.Blood.Normal.CirculatingFetalCell.24217417	MMP9
H.Blood.Normal.CirculatingFetalCell.24217417	NCAM1
H.Blood.Normal.CirculatingFetalCell.24217417	OLIG2
H.Blood.Normal.CirculatingFetalCell.24217417	PBLD
H.Blood.Normal.CirculatingFetalCell.24217417	PDGFC
H.Blood.Normal.CirculatingFetalCell.24217417	PF4
H.Blood.Normal.CirculatingFetalCell.24217417	PUM2
H.Blood.Normal.CirculatingFetalCell.24217417	SELE
H.Blood.Normal.CirculatingFetalCell.24217417	SELPLG
H.Blood.Normal.CirculatingFetalCell.24217417	SMAD3
H.Blood.Normal.CirculatingFetalCell.24217417	SMC3
H.Blood.Normal.CirculatingFetalCell.24217417	SOX13
H.Blood.Normal.CirculatingFetalCell.24217417	TCF3
H.Blood.Normal.CirculatingFetalCell.24217417	TNC
H.Liver.Normal.Hepatoblast.24238062	PTPRC
H.Liver.Normal.Hepatoblast.24238062	TFRC
H.Liver.Normal.Hepatoblast.24238062	DLK1
H.Liver.Normal.Hepatoblast.24238062	PDGFRA
H.Liver.Normal.Hepatoblast.24238062	NA
H.Liver.Normal.MesenchymalCell.24238062	PTPRC
H.Liver.Normal.MesenchymalCell.24238062	TFRC
H.Liver.Normal.MesenchymalCell.24238062	DLK1
H.Liver.Normal.MesenchymalCell.24238062	PDGFRA
H.Liver.Normal.MesenchymalCell.24238062	NA
H.Liver.Normal.EndothelialCell.24238062	PTPRC
H.Liver.Normal.EndothelialCell.24238062	TFRC
H.Liver.Normal.EndothelialCell.24238062	DLK1
H.Liver.Normal.EndothelialCell.24238062	KDR
H.Liver.Normal.EndothelialCell.24238062	NA
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	IL2RA
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	CD3D
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	CD3E
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	CD3G
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	CD4
H.PeripheralBlood.Normal.RegulatoryTTregCell.28777444	FOXP3
H.PeripheralBlood.Normal.THelper1Th1Cell.28777444	CD3D
H.PeripheralBlood.Normal.THelper1Th1Cell.28777444	CD3E
H.PeripheralBlood.Normal.THelper1Th1Cell.28777444	CD3G
H.PeripheralBlood.Normal.THelper1Th1Cell.28777444	CD4
H.PeripheralBlood.Normal.THelper1Th1Cell.28777444	IFNG
H.PeripheralBlood.Normal.THelper2Th2Cell.28777444	CD3D
H.PeripheralBlood.Normal.THelper2Th2Cell.28777444	CD3E
H.PeripheralBlood.Normal.THelper2Th2Cell.28777444	CD3G
H.PeripheralBlood.Normal.THelper2Th2Cell.28777444	CD4
H.PeripheralBlood.Normal.THelper2Th2Cell.28777444	IL4
H.PeripheralBlood.Normal.THelper17Th17Cell.28777444	CD3D
H.PeripheralBlood.Normal.THelper17Th17Cell.28777444	CD3E
H.PeripheralBlood.Normal.THelper17Th17Cell.28777444	CD3G
H.PeripheralBlood.Normal.THelper17Th17Cell.28777444	CD4
H.PeripheralBlood.Normal.THelper17Th17Cell.28777444	IL17RA
H.Undefined.Normal.MesenchymalStromalCell.27989346	ENG
H.Undefined.Normal.MesenchymalStromalCell.27989346	CD34
H.Undefined.Normal.MesenchymalStromalCell.27989346	PTPRC
H.Undefined.Normal.MesenchymalStromalCell.27989346	NT5E
H.Undefined.Normal.MesenchymalStromalCell.27989346	THY1
H.LymphNode.Normal.LymphaticEndothelialCell.27172947	PECAM1
H.LymphNode.Normal.LymphaticEndothelialCell.27172947	CD34
H.LymphNode.Normal.LymphaticEndothelialCell.27172947	PDPN
H.LymphNode.Normal.LymphaticEndothelialCell.27172947	PROX1
H.LymphNode.Normal.LymphaticEndothelialCell.27172947	FLT4
H.Undefined.Normal.Fibroblast.25112013	ENG
H.Undefined.Normal.Fibroblast.25112013	ITGAM
H.Undefined.Normal.Fibroblast.25112013	CD19
H.Undefined.Normal.Fibroblast.25112013	CD34
H.Undefined.Normal.Fibroblast.25112013	CD44
H.Undefined.Normal.Fibroblast.25112013	PTPRC
H.Undefined.Normal.Fibroblast.25112013	NT5E
H.Undefined.Normal.Fibroblast.25112013	THY1
H.Undefined.Normal.Fibroblast.25112013	HLA-DR family
H.Placenta.Normal.MesenchymalStromalCell.29108631	ENG
H.Placenta.Normal.MesenchymalStromalCell.29108631	CD34
H.Placenta.Normal.MesenchymalStromalCell.29108631	PTPRC
H.Placenta.Normal.MesenchymalStromalCell.29108631	THY1
H.Placenta.Normal.MesenchymalStromalCell.29108631	HLA-DR family
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	ENG
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	CD14
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	ITGB1
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	CD34
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	CD44
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	PTPRC
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	NT5E
H.AdiposeTissue.Normal.MesenchymalStemCell.28334693	THY1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	VCAM1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	ITGB1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	PECAM1
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	CD34
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	PTPRC
H.AdiposeTissue.Normal.Adipose.DerivedStemCell.29188405	THY1
H.BoneMarrow.Normal.MesenchymalStemCell.29118937	ENG
H.BoneMarrow.Normal.MesenchymalStemCell.29118937	CD34
H.BoneMarrow.Normal.MesenchymalStemCell.29118937	PTPRC
H.BoneMarrow.Normal.MesenchymalStemCell.29118937	NT5E
H.BoneMarrow.Normal.MesenchymalStemCell.29118937	THY1
H.Lung.LungCancer.CancerStemCell.28986882	ALDH1A1
H.Lung.LungCancer.CancerStemCell.28986882	PROM1
H.Lung.LungCancer.CancerStemCell.28986882	ALCAM
H.Lung.LungCancer.CancerStemCell.28986882	CD44
H.Lung.LungCancer.CancerStemCell.28986882	THY1
H.Urine.Normal.Urine.DerivedStemCell.24945524	ENG
H.Urine.Normal.Urine.DerivedStemCell.24945524	KIT
H.Urine.Normal.Urine.DerivedStemCell.24945524	PROM1
H.Urine.Normal.Urine.DerivedStemCell.24945524	CD14
H.Urine.Normal.Urine.DerivedStemCell.24945524	MCAM
H.Urine.Normal.Urine.DerivedStemCell.24945524	CD24
H.Urine.Normal.Urine.DerivedStemCell.24945524	ITGB1
H.Urine.Normal.Urine.DerivedStemCell.24945524	PECAM1
H.Urine.Normal.Urine.DerivedStemCell.24945524	CD34
H.Urine.Normal.Urine.DerivedStemCell.24945524	CD44
H.Urine.Normal.Urine.DerivedStemCell.24945524	PTPRC
H.Urine.Normal.Urine.DerivedStemCell.24945524	NT5E
H.Urine.Normal.Urine.DerivedStemCell.24945524	THY1
H.Urine.Normal.Urine.DerivedStemCell.24945524	NA
H.Urine.Normal.Urine.DerivedStemCell.24945524	NA
H.Endometrium.Normal.MesenchymalStemCell.28761446	ENG
H.Endometrium.Normal.MesenchymalStemCell.28761446	CD14
H.Endometrium.Normal.MesenchymalStemCell.28761446	ALCAM
H.Endometrium.Normal.MesenchymalStemCell.28761446	CD34
H.Endometrium.Normal.MesenchymalStemCell.28761446	PTPRC
H.Endometrium.Normal.MesenchymalStemCell.28761446	NT5E
H.Endometrium.Normal.MesenchymalStemCell.28761446	THY1
H.Endometrium.Normal.MesenchymalStemCell.28761446	HLA-ABC family
H.Endometrium.Normal.MesenchymalStemCell.28761446	HLA-DR family
H.Endometrium.Normal.MesenchymalStemCell.28761446	MHC class I
H.Undefined.Astroblastoma.CancerStemCell.28232116	ENG
H.Undefined.Astroblastoma.CancerStemCell.28232116	CD14
H.Undefined.Astroblastoma.CancerStemCell.28232116	ITGB1
H.Undefined.Astroblastoma.CancerStemCell.28232116	PECAM1
H.Undefined.Astroblastoma.CancerStemCell.28232116	CD34
H.Undefined.Astroblastoma.CancerStemCell.28232116	CD44
H.Undefined.Astroblastoma.CancerStemCell.28232116	PTPRC
H.Undefined.Astroblastoma.CancerStemCell.28232116	NT5E
H.Undefined.Astroblastoma.CancerStemCell.28232116	THY1
H.PeriodontalLigament.Normal.MesenchymalStemCell.28301220	ENG
H.PeriodontalLigament.Normal.MesenchymalStemCell.28301220	CD34
H.PeriodontalLigament.Normal.MesenchymalStemCell.28301220	CD44
H.PeriodontalLigament.Normal.MesenchymalStemCell.28301220	PTPRC
H.PeriodontalLigament.Normal.MesenchymalStemCell.28301220	THY1
H.Blood.Normal.BCell.23722608	AICDA
H.Blood.Normal.BCell.23722608	MME
H.Blood.Normal.BCell.23722608	TNFSF13B
H.Blood.Normal.BCell.23722608	CD28
H.Blood.Normal.BCell.23722608	CD38
H.Blood.Normal.BCell.23722608	TFRC
H.Blood.Normal.BCell.23722608	CD86
H.PeripheralBlood.Normal.TCell.25799053	CCR7
H.PeripheralBlood.Normal.TCell.25799053	IL7R
H.PeripheralBlood.Normal.TCell.25799053	IL2RA
H.PeripheralBlood.Normal.TCell.25799053	CD27
H.PeripheralBlood.Normal.TCell.25799053	BTLA
H.PeripheralBlood.Normal.TCell.25799053	CD28
H.PeripheralBlood.Normal.TCell.25799053	CD3D
H.PeripheralBlood.Normal.TCell.25799053	CD3E
H.PeripheralBlood.Normal.TCell.25799053	CD3G
H.PeripheralBlood.Normal.TCell.25799053	CD4
H.PeripheralBlood.Normal.TCell.25799053	PTPRC
H.PeripheralBlood.Normal.TCell.25799053	PTPRC
H.PeripheralBlood.Normal.TCell.25799053	SELL
H.PeripheralBlood.Normal.TCell.25799053	CD8A
H.PeripheralBlood.Normal.TCell.25799053	CTLA4
H.PeripheralBlood.Normal.TCell.25799053	PDCD1
H.PeripheralBlood.Normal.TCell.25799053	HAVCR2
H.PeripheralBlood.Normal.BCell.25799053	CD19
H.PeripheralBlood.Normal.BCell.25799053	MS4A1
H.PeripheralBlood.Normal.BCell.25799053	CR2
H.PeripheralBlood.Normal.BCell.25799053	CD24
H.PeripheralBlood.Normal.BCell.25799053	CD27
H.PeripheralBlood.Normal.BCell.25799053	CD38
H.PeripheralBlood.Normal.BCell.25799053	PTPRC
H.PeripheralBlood.Normal.BCell.25799053	CD5
H.PeripheralBlood.Normal.BCell.25799053	IgD family
H.PeripheralBlood.Normal.BCell.25799053	CD40LG
H.PeripheralBlood.Normal.MyeloidCell.25799053	ITGAM
H.PeripheralBlood.Normal.MyeloidCell.25799053	ITGAX
H.PeripheralBlood.Normal.MyeloidCell.25799053	IL3RA
H.PeripheralBlood.Normal.MyeloidCell.25799053	FUT4
H.PeripheralBlood.Normal.MyeloidCell.25799053	FCGR3A
H.PeripheralBlood.Normal.MyeloidCell.25799053	FCGR3B
H.PeripheralBlood.Normal.MyeloidCell.25799053	CD33
H.PeripheralBlood.Normal.MyeloidCell.25799053	PTPRC
H.PeripheralBlood.Normal.MyeloidCell.25799053	CEACAM8
H.PeripheralBlood.Normal.MyeloidCell.25799053	HLA-DR family
H.PeripheralBlood.Normal.MyeloidCell.25799053	CASK
H.PeripheralBlood.Normal.Monocyte.25799053	CD274
H.PeripheralBlood.Normal.Monocyte.25799053	CD14
H.PeripheralBlood.Normal.Monocyte.25799053	F3
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR3A
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR3B
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR2A
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR2B
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR2C
H.PeripheralBlood.Normal.Monocyte.25799053	CD40
H.PeripheralBlood.Normal.Monocyte.25799053	PTPRC
H.PeripheralBlood.Normal.Monocyte.25799053	FCGR1A
H.PeripheralBlood.Normal.Monocyte.25799053	CD80
H.PeripheralBlood.Normal.Monocyte.25799053	CD86
H.PeripheralBlood.Normal.Monocyte.25799053	HLA-DR family
H.PeripheralBlood.Normal.Monocyte.25799053	PDCD1
H.PeripheralBlood.Normal.Monocyte.25799053	TNFRSF1B
