X1	X2
Prins_GBM_2019_Brain	Feature
Riaz_Nivolumab_2017_Skin	Feature
VanAllen_antiCTLA4_2015_Skin	Feature
Zhao_NatMed_2019_Brain	Feature
Feature	Description
B_cell_quantiseq_PreProcessedScore	Feature
Macrophage_M1_quantiseq_PreProcessedScore	Feature
Macrophage_M2_quantiseq_PreProcessedScore	Feature
Monocyte_quantiseq_PreProcessedScore	Feature
Neutrophil_quantiseq_PreProcessedScore	Feature
NK_cell_quantiseq_PreProcessedScore	Feature
T_cell_CD4+_(non-regulatory)_quantiseq_PreProcessedScore	Feature
T_cell_CD8+_quantiseq_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_quantiseq_PreProcessedScore	Feature
Myeloid_dendritic_cell_quantiseq_PreProcessedScore	Feature
uncharacterized_cell_quantiseq_PreProcessedScore	Feature
B_cell_naive_cibersort_PreProcessedScore	Feature
B_cell_memory_cibersort_PreProcessedScore	Feature
B_cell_plasma_cibersort_PreProcessedScore	Feature
T_cell_CD8+_cibersort_PreProcessedScore	Feature
T_cell_CD4+_naive_cibersort_PreProcessedScore	Feature
T_cell_CD4+_memory_resting_cibersort_PreProcessedScore	Feature
T_cell_CD4+_memory_activated_cibersort_PreProcessedScore	Feature
T_cell_follicular_helper_cibersort_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_cibersort_PreProcessedScore	Feature
T_cell_gamma_delta_cibersort_PreProcessedScore	Feature
NK_cell_resting_cibersort_PreProcessedScore	Feature
NK_cell_activated_cibersort_PreProcessedScore	Feature
Monocyte_cibersort_PreProcessedScore	Feature
Macrophage_M0_cibersort_PreProcessedScore	Feature
Macrophage_M1_cibersort_PreProcessedScore	Feature
Macrophage_M2_cibersort_PreProcessedScore	Feature
Myeloid_dendritic_cell_resting_cibersort_PreProcessedScore	Feature
Myeloid_dendritic_cell_activated_cibersort_PreProcessedScore	Feature
Mast_cell_activated_cibersort_PreProcessedScore	Feature
Mast_cell_resting_cibersort_PreProcessedScore	Feature
Eosinophil_cibersort_PreProcessedScore	Feature
Neutrophil_cibersort_PreProcessedScore	Feature
B_cell_naive_cibersort_abs_PreProcessedScore	Feature
B_cell_memory_cibersort_abs_PreProcessedScore	Feature
B_cell_plasma_cibersort_abs_PreProcessedScore	Feature
T_cell_CD8+_cibersort_abs_PreProcessedScore	Feature
T_cell_CD4+_naive_cibersort_abs_PreProcessedScore	Feature
T_cell_CD4+_memory_resting_cibersort_abs_PreProcessedScore	Feature
T_cell_CD4+_memory_activated_cibersort_abs_PreProcessedScore	Feature
T_cell_follicular_helper_cibersort_abs_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_cibersort_abs_PreProcessedScore	Feature
T_cell_gamma_delta_cibersort_abs_PreProcessedScore	Feature
NK_cell_resting_cibersort_abs_PreProcessedScore	Feature
NK_cell_activated_cibersort_abs_PreProcessedScore	Feature
Monocyte_cibersort_abs_PreProcessedScore	Feature
Macrophage_M0_cibersort_abs_PreProcessedScore	Feature
Macrophage_M1_cibersort_abs_PreProcessedScore	Feature
Macrophage_M2_cibersort_abs_PreProcessedScore	Feature
Myeloid_dendritic_cell_resting_cibersort_abs_PreProcessedScore	Feature
Myeloid_dendritic_cell_activated_cibersort_abs_PreProcessedScore	Feature
Mast_cell_activated_cibersort_abs_PreProcessedScore	Feature
Mast_cell_resting_cibersort_abs_PreProcessedScore	Feature
Eosinophil_cibersort_abs_PreProcessedScore	Feature
Neutrophil_cibersort_abs_PreProcessedScore	Feature
T_cell_mcp_counter_PreProcessedScore	Feature
T_cell_CD8+_mcp_counter_PreProcessedScore	Feature
cytotoxicity_score_mcp_counter_PreProcessedScore	Feature
NK_cell_mcp_counter_PreProcessedScore	Feature
B_cell_mcp_counter_PreProcessedScore	Feature
Monocyte_mcp_counter_PreProcessedScore	Feature
Macrophage/Monocyte_mcp_counter_PreProcessedScore	Feature
Myeloid_dendritic_cell_mcp_counter_PreProcessedScore	Feature
Neutrophil_mcp_counter_PreProcessedScore	Feature
Endothelial_cell_mcp_counter_PreProcessedScore	Feature
Cancer_associated_fibroblast_mcp_counter_PreProcessedScore	Feature
Myeloid_dendritic_cell_activated_xcell_PreProcessedScore	Feature
B_cell_xcell_PreProcessedScore	Feature
T_cell_CD4+_memory_xcell_PreProcessedScore	Feature
T_cell_CD4+_naive_xcell_PreProcessedScore	Feature
T_cell_CD4+_(non-regulatory)_xcell_PreProcessedScore	Feature
T_cell_CD4+_central_memory_xcell_PreProcessedScore	Feature
T_cell_CD4+_effector_memory_xcell_PreProcessedScore	Feature
T_cell_CD8+_naive_xcell_PreProcessedScore	Feature
T_cell_CD8+_xcell_PreProcessedScore	Feature
T_cell_CD8+_central_memory_xcell_PreProcessedScore	Feature
T_cell_CD8+_effector_memory_xcell_PreProcessedScore	Feature
Class-switched_memory_B_cell_xcell_PreProcessedScore	Feature
Common_lymphoid_progenitor_xcell_PreProcessedScore	Feature
Common_myeloid_progenitor_xcell_PreProcessedScore	Feature
Myeloid_dendritic_cell_xcell_PreProcessedScore	Feature
Endothelial_cell_xcell_PreProcessedScore	Feature
Eosinophil_xcell_PreProcessedScore	Feature
Cancer_associated_fibroblast_xcell_PreProcessedScore	Feature
Granulocyte-monocyte_progenitor_xcell_PreProcessedScore	Feature
Hematopoietic_stem_cell_xcell_PreProcessedScore	Feature
Macrophage_xcell_PreProcessedScore	Feature
Macrophage_M1_xcell_PreProcessedScore	Feature
Macrophage_M2_xcell_PreProcessedScore	Feature
Mast_cell_xcell_PreProcessedScore	Feature
B_cell_memory_xcell_PreProcessedScore	Feature
Monocyte_xcell_PreProcessedScore	Feature
B_cell_naive_xcell_PreProcessedScore	Feature
Neutrophil_xcell_PreProcessedScore	Feature
NK_cell_xcell_PreProcessedScore	Feature
T_cell_NK_xcell_PreProcessedScore	Feature
Plasmacytoid_dendritic_cell_xcell_PreProcessedScore	Feature
B_cell_plasma_xcell_PreProcessedScore	Feature
T_cell_gamma_delta_xcell_PreProcessedScore	Feature
T_cell_CD4+_Th1_xcell_PreProcessedScore	Feature
T_cell_CD4+_Th2_xcell_PreProcessedScore	Feature
T_cell_regulatory_(Tregs)_xcell_PreProcessedScore	Feature
immune_score_xcell_PreProcessedScore	Feature
stroma_score_xcell_PreProcessedScore	Feature
microenvironment_score_xcell_PreProcessedScore	Feature
B_cell_epic_PreProcessedScore	Feature
Cancer_associated_fibroblast_epic_PreProcessedScore	Feature
T_cell_CD4+_epic_PreProcessedScore	Feature
T_cell_CD8+_epic_PreProcessedScore	Feature
Endothelial_cell_epic_PreProcessedScore	Feature
Macrophage_epic_PreProcessedScore	Feature
NK_cell_epic_PreProcessedScore	Feature
uncharacterized_cell_epic_PreProcessedScore	Feature
Monocyte_conventional_abis_PreProcessedScore	Feature
NK_cell_abis_PreProcessedScore	Feature
T_cell_CD8+_memory_abis_PreProcessedScore	Feature
T_cell_CD4+_naive_abis_PreProcessedScore	Feature
T_cell_CD8+_naive_abis_PreProcessedScore	Feature
B_cell_naive_abis_PreProcessedScore	Feature
T_cell_CD4+_memory_abis_PreProcessedScore	Feature
T_cell_MAIT_abis_PreProcessedScore	Feature
T_cell_gamma_delta_VD2_abis_PreProcessedScore	Feature
Neutrophil_abis_PreProcessedScore	Feature
T_cell_gamma_delta_non-VD2_abis_PreProcessedScore	Feature
Basophil_abis_PreProcessedScore	Feature
Monocyte_non-conventional_abis_PreProcessedScore	Feature
B_cell_memory_abis_PreProcessedScore	Feature
Myeloid_dendritic_cell_abis_PreProcessedScore	Feature
Plasmacytoid_dendritic_cell_abis_PreProcessedScore	Feature
B_cell_plasma_immature_abis_PreProcessedScore	Feature
stroma_score_estimate_PreProcessedScore	Feature
immune_score_estimate_PreProcessedScore	Feature
tumor_purity_score_estimate_PreProcessedScore	Feature
tumor_purity_fraction_estimate_PreProcessedScore	Feature
