variable	Hazard_Ratio
HOXD8	1.7
HP1BP3	1.61
HS3ST3A1	0.6
HS6ST2	1.62
HSCB	1.69
HSH2D	0.61
HTRA4	0.61
ICOS	0.56
IFT22	1.98
IGLL5	0.51
IL10RA	0.51
IL12B	0.59
IL15RA	0.62
IL16	0.57
IL17RA	0.57
IL18R1	0.57
IL2	0.59
IL23R	0.61
IL32	0.59
IL3RA	0.56
INPP5D	0.55
IRAG2	0.55
IRF1	0.57
IRF8	0.48
ISG20	0.59
ITGAD	0.6
ITGAL	0.56
ITGAX	0.6
ITGB2	0.58
ITK	0.58
ITM2C	1.62
ITPR1	0.62
JAK1	0.53
JCHAIN	0.61
KCNA3	0.57
KCNA5	0.54
KCNJ13	1.61
KCNMA1	0.61
KCNN3	0.6
KCNQ1	0.5
KCP	0.58
KCTD1	1.86
KCTD15	1.8
KIF19	0.56
KLRB1	0.61
KRR1	1.81
LAMC2	0.6
LAPTM4B	1.81
LARGE2	0.62
LAX1	0.5
LCA5L	1.68
LCK	0.57
LCP1	0.6
LCP2	0.61
LDLRAD3	1.65
LGALS2	0.51
LGALS9	0.61
LGALS9B	0.6
LGALS9C	0.61
LILRA4	0.46
LILRB4	0.61
LRATD2	1.67
LRP1	0.62
LRRFIP1	0.62
LTF	0.62
LY75.CD302	0.61
LY9	0.54
LYZ	0.55
MAGEL2	1.61
MALT1	0.58
MAN2B1	0.62
MAP3K5	0.62
MBOAT2	1.69
MCMDC2	1.6
MDK	1.68
MEGF10	1.81
MEX3A	1.82
MIS18A	1.62
MLLT11	1.61
MMP16	1.78
MMP9	0.56
MOK	1.72
MORN2	1.68
MOSMO	1.65
MPP7	0.55
MRC1	0.56
MRGBP	1.63
MRPL42	1.9
MRPL47	1.8
MRPS6	1.62
MS4A1	0.43
MTERF3	2.04
MTM1	0.52
MTPN	1.68
MVP	0.6
MYB	0.54
MYH11	0.52
MYO1A	0.6
MYO1F	0.58
MYO1G	0.54
MYOF	0.62
MYRF	1.62
MZB1	0.59
NAPEPLD	1.63
NBEAL2	0.62
NCF1	0.54
NCF4	0.57
NCKAP1L	0.52
NFE2L2	1.65
NFKB2	0.61
NFKBIA	0.55
NIBAN3	0.47
NIFK	1.61
NKAIN3	1.61
NLRC3	0.6
NLRC5	0.57
NLRP2	0.61
NLRP3	0.53
NLRP6	0.6
NLRP7	0.57
NOTCH2NLB	0.61
NPAS1	1.6
NTAQ1	1.89
NTNG2	0.61
NUDCD1	1.7
NUDT11	1.61
NUGGC	0.52
NUTF2	1.71
NXPH4	1.84
OASL	0.62
OPTN	0.6
OR10H5	2.64
OR2G6	0.5
OR2T10	0.4
ORC5	1.63
OSGEPL1	1.64
OTOF	0.53
P2RX1	0.57
PAIP1	1.64
PARM1	0.58
PARP15	0.59
PATL2	0.56
PAX5	0.54
PBX4	0.57
PCDHB6	1.71
PCLAF	1.78
PFKP	0.62
PGAP1	1.85
PHLDA1	1.62
PI15	2.04
PI4K2B	0.62
PIK3CD	0.43
PIK3CG	0.54
PIMREG	1.65
PIP4P2	1.69
PIR	1.68
PKHD1L1	0.52
PLA2G2D	0.55
PLA2G7	0.58
PLCG2	0.55
PLCH2	0.59
PLCL2	0.44
PLEKHA8	1.68
PLEKHG1	0.62
PLEKHG7	0.6
PLK2	1.62
PNPLA6	0.62
PNPLA7	0.58
PODN	0.6
POLR2H	1.6
POMK	1.73
POU2AF1	0.51
PPP2R1B	0.59
PRDM1	0.62
PRF1	0.6
PRKAG2	0.56
PRKCD	0.62
PRPSAP2	1.76
PRR7	1.6
PRRG4	0.62
PSG11	1.87
PSMB8	0.55
PSMC5	1.67
PSME1	0.62
PSMG1	1.63
PTCD2	1.62
PTDSS1	1.8
PTGDR	0.52
PTK2B	0.5
PTPN6	0.49
PTPRC	0.5
PXK	0.62
RAD1	1.63
RARB	2.02
RASAL3	0.62
RASGEF1B	0.54
RASGRF2	0.58
RBM7	1.67
RCN2	1.85
RCOR2	1.75
RFTN1	0.62
RHCG	1.72
RHEX	0.56
RIC3	0.6
RIMBP3	0.61
RIMS2	1.91
RIT2	2.34
RMDN1	1.7
RNASET2	0.61
RND2	1.75
RNF157	1.77
RPL26L1	1.68
RPS27AP5	1.75
RSPO3	0.58
RTL8A	1.6
RTL8B	1.64
RUNX3	0.57
RXYLT1	1.77
SAMD3	0.61
SCAMP1	1.61
SCARF2	1.72
SCML4	0.57
SCN11A	0.61
SCNN1B	0.56
SDHAF3	1.64
SDR42E1	0.62
SELP	0.59
SELPLG	0.59
SEMA4D	0.6
SEPTIN1	0.58
SEPTIN11	1.68
SERPING1	0.62
SF3B4	1.65
SH2D3C	0.52
SHISAL2A	0.61
SHQ1	1.64
SHROOM1	1.67
SIGLEC6	0.62
SIGLEC8	0.59
SKAP1	0.55
SLC12A3	0.56
SLC19A2	1.71
SLC22A3	0.55
SLC22A9	1.78
SLC25A32	1.64
SLC26A2	1.74
SLC29A3	0.55
SLC30A5	1.68
SLC5A3	1.6
SLC7A7	0.6
SLFN12L	0.6
SLFN5	0.62
SMARCD1	1.65
SMIM29	1.68
SMOC1	0.59
SNAPC3	1.62
SNRPB2	1.95
SNRPE	1.69
SNTG2	0.59
SNX29	0.57
SNX9	0.58
SOX17	0.58
SOX8	2.07
SP140	0.57
SPATA2	1.77
SPRY4	1.84
SRSF6	1.64
STAT4	0.52
STAU2	1.74
STK3	1.66
STK33	0.62
SYNDIG1	0.55
SYTL3	0.57
TAF9B	1.64
TAGAP	0.57
TBX21	0.57
TBXAS1	0.58
TCF24	1.8
TCL1A	0.58
TDG	1.62
TDRD1	0.51
TEAD2	1.9
TEC	0.56
TERF1	1.65
TESPA1	0.58
THEMIS	0.6
TIMD4	0.55
TJP3	0.5
TLCD3A	1.61
TLR10	0.6
TMC8	0.62
TMEM106B	1.62
TMEM121	1.69
TMEM54	1.61
TMEM68	1.7
TMEM98	1.65
TNFAIP2	0.6
TNFAIP3	0.51
TNFRSF10A	0.56
TNFRSF13B	0.52
TNXB	0.57
TOX2	0.59
TP53RK	1.61
TPO	0.45
TPRG1	0.59
TRA2B	1.63
TRAF3IP3	0.58
TRAF4	1.61
TRMT61B	1.71
TSPAN6	1.73
TSR1	1.62
TTC22	0.62
TTC26	1.67
TTC7A	0.6
TUBA4A	0.6
TUSC3	1.72
TVP23A	0.58
UBA7	0.6
UBASH3A	0.57
UBE2W	1.71
UGT2B17	0.58
UNC80	1.86
USP51	1.7
UTS2	0.61
UTS2R	0.62
VTI1A	0.61
WAS	0.55
WASL	1.7
WDFY4	0.51
WDR93	1.64
WHAMM	0.62
WNT10A	0.57
XCR1	0.62
YAP1	1.67
ZAP70	0.55
ZBED8	1.97
ZC2HC1A	1.64
ZC3H12A	0.59
ZC3H4	0.6
ZCCHC2	0.62
ZDHHC22	1.74
ZIC3	1.72
ZNF121	1.72
ZNF286A	1.8
ZNF300	1.64
ZNF7	1.63
ZNF74	1.74
ZNF831	0.53
ZXDB	0.58
A4GALT	0.63
ABCB1	0.63
AC026464.6	1.58
ACOXL	0.63
AKR1C1	0.63
ARF4	1.59
ARHGAP18	0.63
ARHGAP26	0.63
ASMTL	0.62
ATF4	1.59
ATG10	1.58
B2M	0.63
BACH2	0.62
BAG4	1.59
BCAS1	0.63
BLACAT1	1.59
BUD23	1.59
CCNO	1.6
CHML	1.58
CNPY2	1.58
CORO1A	0.63
CR1	0.63
CYP2J2	1.59
DAP	1.6
DMRTC1B	0.63
DNAH2	1.58
DSC2	0.62
DTHD1	0.63
EIF3H	1.59
EIF4A1	1.58
FAM171B	1.59
FCHSD2	0.63
FEM1B	1.58
GATA3	0.63
GBP5	0.63
GGPS1	1.58
GPBAR1	0.63
GPR68	0.63
GPRIN1	1.58
GSTM5	0.63
GZMH	0.63
HCLS1	0.63
HM13	1.6
HOXC4	1.59
HOXC8	1.6
HSD11B1	0.63
IGF2BP3	1.59
IKZF3	0.63
ITGB3BP	1.58
ITGB7	0.63
JAKMIP1	0.63
JAML	0.63
KLRC1	0.63
KLRD1	0.63
LAMP3	0.63
LILRB1	0.63
LRRK1	0.63
MACIR	1.58
MAP3K14	0.63
MEGF9	1.58
MRPS30	1.58
MRPS36	1.58
MTFR1	1.58
MYO18B	0.63
NDFIP2	1.6
NDST2	0.62
NHS	0.62
NHSL2	0.63
NMB	1.6
NRXN3	0.63
OXNAD1	0.63
PACSIN1	0.63
PARP12	0.63
PARP14	0.63
PARVG	0.63
PCED1B	0.63
PCNP	1.58
PFDN1	1.58
PGM2	1.59
PHLDA3	1.6
PIGM	1.6
PILRA	0.62
PLD4	0.63
PLEK	0.63
PNMA8A	1.58
PRAF2	1.59
PRKCQ	0.63
RAD54B	1.59
RANGRF	1.58
RASA4	0.63
RASGRP2	0.63
REN	1.58
RYK	1.58
SEC14L2	1.58
SEMA4A	0.63
SESTD1	1.58
SIDT1	0.63
SIGLEC9	0.63
SLAMF7	0.63
SNORC	1.6
SP100	0.63
SPATA20	1.6
SPNS3	0.63
SQLE	1.59
TLN1	0.63
TMEM81	1.58
TRMT12	1.58
TSHZ2	0.63
TXNDC17	1.59
UBE2E3	1.58
UBE2V2	1.6
VAV1	0.63
WNK2	0.63
WWTR1	1.6
XCL2	0.63
XPOT	1.59
YWHAE	1.6
ZFAND1	1.59
ZHX1.C8orf76	1.59
ZIC1	1.58
ZNF140	1.59
ZNF536	1.59
AACS	1.55
ABAT	0.64
AC058822.1	0.64
AC233992.2	1.57
ADAM19	0.65
ADAMTSL1	0.64
ADGRG5	0.64
ADNP	1.54
AFMID	1.57
ALPK1	0.64
ANO9	0.64
APMAP	1.56
APOBR	0.65
ARAP3	1.56
ARHGAP15	0.64
ARHGAP39	1.55
ARID3B	0.64
ARRDC5	0.65
BRK1	1.55
C12orf29	1.55
C12orf45	1.55
C8orf37	1.55
C8orf76	1.54
CACNA2D3	0.64
CAPN2	0.64
CCDC28A	0.64
CCL22	0.64
CD163L1	0.65
CD8A	0.64
CERS2	1.55
CFAP299	0.58
CLASRP	0.64
CLEC3B	0.64
CSF3R	0.64
CSMD3	1.55
CYSLTR2	0.64
CYTIP	0.65
DDIAS	1.57
DENR	1.55
DERL2	1.55
DLGAP4	1.55
DLX1	1.56
DNAJC18	1.56
DOP1B	0.64
DSCC1	1.55
ENTPD6	1.58
EPHB3	1.54
EXOSC4	1.56
EXTL1	1.55
EZR	0.65
FAM189B	1.55
FAM20A	0.64
FAM91A1	1.55
FBXL6	1.54
FLVCR2	0.65
FMC1	1.56
FOXL2NB	1.54
FZD9	1.57
GABRQ	1.55
GAPT	0.64
GDF15	1.54
GIPR	0.64
GKAP1	0.64
GLB1L3	0.64
GOLPH3	1.54
GRIK3	1.55
GZMB	0.64
HDC	0.64
HLA.A	0.64
IDO2	0.64
IGFBP2	1.56
IGFLR1	0.65
IKBIP	1.55
IL1R2	0.64
IL4R	0.64
ISX	1.89
ITIH4	0.65
KDELR3	1.55
KLHDC3	1.56
KLHL6	0.65
KLRC4.KLRK1	0.64
KLRG1	0.64
LETMD1	1.55
LHX1	1.55
LILRB2	0.64
LMBRD1	0.63
LSP1	0.64
LTB	0.65
LYPLA1	1.56
MAP4K1	0.65
MBD2	0.64
MCOLN2	0.64
MPEG1	0.65
MTERF2	1.56
NDRG1	1.54
NDUFAF6	1.56
NELL2	0.64
NHSL1	0.65
NKAIN4	1.56
NR3C2	0.65
NT5DC4	0.65
NYAP2	0.64
OR2I1P	0.64
OR2T29	0.61
OR52N4	0.64
P2RX5	0.64
P2RY8	0.64
PAFAH1B3	1.57
PAQR3	1.57
PCDHB5	1.55
PDCD1	0.64
PFN2	1.57
PHACTR2	0.65
PI16	0.64
PIGU	1.56
PINX1	1.55
PLD1	0.64
POLD2	1.56
POTEB2	2.04
PPARG	0.63
PPP1R16B	0.64
PRAM1	0.64
PRAMEF6	1.82
PRDX6	1.56
PRKCA	1.54
PROC	0.65
PRPF31	0.64
PRRG1	1.54
PSTPIP1	0.64
RAC1	1.55
RAPGEF1	0.65
RASSF6	0.64
RBIS	1.57
RBM25	0.65
RELT	0.64
RFX5	0.64
RGS9	0.64
RIPK3	0.64
ROCK1	0.64
RPGRIP1	0.65
RPL23	1.54
RPL30	1.55
RPL7	1.56
SAT2	1.57
SERINC3	1.57
SEZ6L	0.65
SFXN5	1.54
SHC1	1.55
SLC19A1	1.55
SLC26A5	0.64
SLC27A2	0.64
SLC35F3	0.64
SLC4A8	0.65
SMO	1.56
SNX1	1.55
SNX16	1.57
SP140L	0.64
SPATS2	1.56
STAC3	0.65
STARD9	0.65
STON2	0.64
STX11	0.64
SYNPO2	0.64
TATDN1	1.56
TBC1D10C	0.64
TBC1D9	0.64
TECTB	1.57
THAP2	1.57
TLCD5	1.55
TLL1	0.63
TMEM117	1.57
TMEM244	0.63
TNFSF11	0.64
TNNT2	0.64
TOMM5	1.57
TOMM70	1.56
TOP1MT	1.54
TRAPPC4	1.54
TWIST1	1.56
TXK	0.65
TXNDC11	0.65
TYROBP	0.64
ULK2	1.57
UQCR10	1.55
UVSSA	0.65
VIRMA	1.56
VPS45	1.56
XAF1	0.65
ZC3H8	1.55
ZNF101	0.64
ZNF511.PRAP1	1.7
ZNF514	1.54
ZNF623	1.57
ZPBP2	0.55
ABCD2	0.65
ABHD10	1.52
AC008763.3	1.63
AC015802.6	1.52
AC138894.1	0.65
ADGRB1	1.53
ADH1B	0.65
AKR1C8P	0.64
AL669918.1	0.65
ALOX5	0.66
ANKRD46	1.54
ARAP2	0.66
ARMC10	1.52
ATG7	0.65
AZIN2	0.66
B3GLCT	1.54
B4GALNT4	1.53
C4orf50	0.65
CASR	0.64
CELF6	0.66
CENPK	1.52
CFLAR	0.65
CLIC6	0.65
COL1A1	0.65
CR589904.2	1.52
CTLA4	0.66
CYP26A1	1.53
DCAF6	0.66
DMRTC1	0.49
DNAJC12	1.52
DTYMK	1.52
EBF1	0.65
ECI2	1.52
EFEMP1	0.65
ERGIC3	1.53
ETNK2	1.53
ETV6	0.66
EVL	0.65
FAM217B	1.52
FAM8A1	1.52
FCER2	0.66
FCRL3	0.66
FCRL6	0.66
FDXR	1.53
FLRT1	1.52
FNTA	1.53
FOXK2	1.54
FOXRED2	1.52
GBP1	0.66
GLO1	1.53
GPAT4	1.52
GSTM3	1.52
GTF2A2	1.53
HLTF	1.54
HNRNPCL4	1.83
HOXB6	1.52
HTN1	1.53
HTR3B	1.51
IFT46	1.54
IK	0.65
IL11	1.52
IL4I1	0.66
IL7R	0.65
INTS8	1.52
JPH1	1.52
KCTD4	1.51
KLK13	1.52
KRT86	0.66
L1TD1	0.65
LAG3	0.65
LCTL	1.52
LEXM	0.66
LGR6	0.66
LIN52	1.54
LRRC4	1.52
MAGEA3	1.52
MAN1A1	0.65
MATK	0.65
ME2	0.65
MEI1	0.65
MEP1A	0.65
MOSPD1	1.54
MOSPD2	1.54
MYH9	0.65
NLRP1	0.65
NXN	1.52
OAS1	0.66
OAS3	0.65
OR2T11	0.6
P2RY1	1.52
PACS1	0.65
PATE2	1.52
PCMTD2	1.54
PDGFA	1.53
PEX26	1.53
PLIN4	0.65
POGLUT2	1.53
PRKCH	0.66
PVR	1.54
RASL11A	0.66
RASSF5	0.65
RBMX	1.54
RGS20	1.54
RNASEK	1.53
RPL22L1	1.53
RPL24	1.53
RPS20	1.53
SCN1A	1.54
SFT2D1	1.52
SGPP2	0.65
SH3BP1	0.65
SIAH1	1.52
SIGLEC14	0.65
SIRPG	0.65
SLAMF6	0.65
SLC16A6	0.66
SLC24A3	0.66
SLC29A4	1.52
SLC35F5	1.52
SRP54	0.66
SYK	0.66
TBC1D3F	0.65
TBX20	0.66
TEX45	1.54
TIFAB	0.66
TMEM101	1.53
TMEM132C	0.65
TMEM168	1.54
TMEM230	1.53
TMEM267	1.54
TMEM33	1.52
TNS2	1.53
TP53	1.54
TRAM2	1.52
TRAT1	0.66
TRIM22	0.65
TRIM6	1.54
UBE2T	1.52
UBXN2B	1.54
UCP3	0.65
USP30	1.52
VPREB3	0.65
VPS39	0.66
VWA1	1.54
WASHC2A	0.66
YTHDF3	1.54
ZBP1	0.65
ZCWPW1	0.65
ZNF404	1.53
ZNF619	0.66
ZNF648	1.53
AC034102.2	1.5
ACSF2	0.66
AEBP1	0.66
AHNAK	0.66
ALG3	1.51
ALPK2	0.66
ALX1	1.5
ANKRD18A	0.66
APOL4	0.67
ATP10B	1.52
AZIN1	1.52
BMI1	1.51
BMP10	0.59
BMT2	1.51
BPI	0.66
BPNT2	1.5
BRDT	0.57
C15orf61	1.5
C17orf75	1.5
C3orf70	1.51
C9orf116	1.5
CBARP	1.51
CBLN3	0.66
CCDC90B	1.5
CDCA7	1.51
CDH7	1.51
CHCHD7	1.52
CHST10	1.5
CLU	0.66
CLYBL	0.66
COL1A2	0.66
COL22A1	1.51
COX7C	1.51
CRYM	0.66
DAPP1	0.66
DNM2	0.66
DOK2	0.66
DPCD	1.5
DYNLL2	1.51
E2F6	1.51
EDA2R	1.51
EFNB3	1.51
EIF2B5	0.66
EPSTI1	0.66
ERI2	1.51
EVI2B	0.66
EXOSC9	0.67
FADS1	1.51
FCHO1	0.66
FGD2	0.66
FHOD3	0.67
GALNT11	1.5
GGH	1.51
GGT7	1.51
GMIP	0.66
GOLGA7	1.51
GOLGA8N	0.66
GOLGA8R	0.66
GTF3C6	1.51
H1.4	0.66
HARS1	1.51
HES4	1.51
HILPDA	1.51
HLA.B	0.66
HLA.DPB1	0.66
HMGA2	1.51
HMGN1	1.51
HOXD1	1.51
IFNLR1	0.66
IL18RAP	0.66
INTU	1.51
JAGN1	1.52
KCNA7	1.5
KCNH4	0.67
KIRREL1	1.51
LMOD1	0.66
MAMSTR	1.51
MAP1A	0.67
MAP3K12	1.51
MARCHF11	1.68
MASP1	0.67
MCTS1	1.52
MCUR1	1.51
MEAF6	1.51
MRGPRX3	1.5
MRPL50	1.51
MRPS24	1.51
MSI2	1.51
MTDH	1.52
MTMR14	0.66
MYO7B	0.66
NAAA	0.67
NAGK	0.66
NAP1L2	0.67
NBL1	1.5
NDUFB6	1.51
NEXN	0.67
NKRF	1.52
NREP	1.5
OGFR	0.66
OR6S1	0.54
OVGP1	0.67
OXER1	0.66
PARP8	0.66
PDZRN4	0.66
PER2	0.66
PFAS	1.51
PGF	1.51
PHC2	1.51
PIK3R2	1.52
PLAC8	0.66
PLPPR2	1.51
PRG4	0.66
PTCHD4	1.51
PTPN22	0.66
PYGM	0.66
RCAN1	1.51
REC8	0.66
RGL4	0.66
RIPOR3	0.66
RLBP1	1.5
RNF24	1.5
RPS6KA1	0.66
RSAD2	0.67
SERPINA9	0.63
SETD3	0.66
SGIP1	0.67
SIT1	0.66
SLA2	0.67
SLAMF1	0.66
SLC25A45	0.67
SMAP1	0.66
SMOX	1.5
SOX10	1.51
SPINK6	1.62
SRM	1.5
TAF12	1.5
TCTN3	1.5
TEX15	1.5
TIGD6	1.5
TMEM215	1.51
TMEM249	1.5
TMEM38B	1.51
TMEM60	1.51
TMEM71	0.66
TPSAB1	0.67
TRABD2A	0.67
TREX1	0.67
TRIB2	1.52
TRO	1.51
TSPYL1	0.66
UBA2	1.51
UNK	1.51
WIPI1	0.66
ZBTB26	1.51
ZFP37	1.51
ZHX1	1.51
ZNF10	1.51
ZNF146	1.5
ZNF366	0.66
ZNF80	0.66
ABCA6	0.67
AC010132.3	1.49
ADGRE5	0.67
AGO2	1.49
AL136295.3	0.66
AL451136.1	0.66
AP000781.2	0.67
APOL3	0.67
APOL6	0.67
ARF3	1.5
ASIC4	1.49
ATP5F1E	1.49
ATP9B	0.67
BCL2L12	1.49
BMP2K	0.67
BRPF1	0.67
BTBD11	0.67
C16orf87	1.5
C17orf64	0.66
CCDC127	1.49
CD244	0.67
CD53	0.67
CD69	0.67
CD7	0.67
CD99	0.67
CDK11A	0.67
CDKN2AIPNL	1.5
CETN3	1.5
CFAP20	1.5
CFD	0.67
CMC2	1.49
CNKSR1	0.67
COPG2	1.49
CRISPLD2	0.67
CRTAM	0.67
CYP27C1	1.5
CYP7B1	1.5
CYTH4	0.67
DENND1C	0.67
DEPDC4	1.5
DUSP6	1.5
DYNLRB1	1.5
ELF4	0.67
EMC6	1.49
ENY2	1.49
EPHA6	1.49
ERCC5	0.67
FAM168B	1.49
FAT4	0.67
GPR174	0.67
GRAP2	0.67
HOXA11	1.5
IGFBP3	1.49
IGLON5	1.49
IMPA1	1.49
IQGAP2	0.67
KANSL2	1.5
KHDRBS3	1.49
KLF2	0.67
LGI2	0.67
LIPC	0.67
LSM2	1.49
LY75	0.67
MAP2	1.49
MAPK9	1.49
MET	1.49
MFAP3L	1.5
MIDEAS	0.67
MOXD1	1.49
MSI1	1.5
MTMR6	1.49
MTSS2	1.5
MYD88	0.67
MYL6B	1.5
MYO7A	0.67
NAA38	1.49
NACA2	1.5
NBPF1	0.67
NCR1	0.67
NKX2.2	1.5
NLRP12	0.67
NSUN7	1.49
OCM	0.67
PEX14	0.67
PIGF	1.49
PIK3AP1	0.67
PITX2	1.49
POT1	1.49
PPIAL4H	0.67
PPP1CC	1.49
PPP1R21	0.67
PRAME	1.5
PRKCB	0.67
PRRC1	1.49
PSMA1	1.5
RBM18	1.49
RET	0.67
ROMO1	1.49
SCAMP3	1.5
SELL	0.67
SLC35B4	1.49
SLC35E3	1.49
STIM1	0.67
TBC1D10A	1.5
TBX3	1.49
TENT5C	0.67
TEX30	1.49
TM7SF3	1.5
TMEM201	1.49
TMPRSS6	0.67
TNFRSF18	0.67
TRIM21	0.67
TUBB8B	1.49
TXNIP	0.67
UPK3BL1	1.5
USP15	0.67
USP22	1.5
VMA21	1.49
VWF	0.67
WASHC2C	0.67
WDCP	1.5
WDR59	0.67
WDR83OS	1.5
XIRP1	0.67
YIPF6	1.49
ZDHHC20	1.5
ZFPM2	0.67
ZNF569	1.49
ABCG1	0.68
ADA	0.68
AMY1B	0.45
ATP1A3	0.67
ATP6V1C1	1.48
BCL11A	0.68
BCL2L2	1.48
BMS1	0.67
C12orf73	1.48
C1GALT1C1L	1.48
C8orf88	1.48
CASP8	0.68
CCDC186	0.68
CD68	0.68
CD84	0.68
CEBPZ	1.47
CES4A	0.68
CHI3L2	0.68
CHST14	1.48
CLIC3	0.68
CMTM8	1.48
CNKSR2	0.68
COX6C	1.48
CRLF2	0.68
CRLF3	0.68
CST7	0.67
CXCL12	0.67
CYP4F12	0.68
DAB2IP	1.48
DLK2	1.48
DLX4	1.48
DSCAML1	0.68
DTD2	1.48
DUS2	0.67
ETV1	1.48
ETV5	1.48
EXTL2	1.48
EYA1	1.48
FARP1	1.47
FGD6	0.67
FKBP10	1.48
FLI1	0.67
FXYD5	0.68
GFM2	1.48
GP1BB	1.58
GPR37	1.48
HMGCR	1.48
HOXB5	1.48
HOXB9	1.48
