## Project Name: Pan_ICI_iAtlas_Skin_OS
## Expression Matrix File Name: Pan_ICI_iAtlas_Expr_Skin.zip
## Meta Data File Name: Pan_ICI_iAtlas_Meta_Skin.txt
## Gene Set File Name: MSigDB_Hallmark_GeneSets.txt
## Survival/Event Type: OS.time /// OS
## Number of Samples: 378
## Gene Set: MSigDB.Hallmark Of 50 Gene Sets
## ssGSEA was used to calculate pathway scores and group samples Above or Below median ssGSEA score per gene set then ran through interactive Cox Proportional Hazard Analysis with the covariate
## Pathways were ranked by Coxph P.value
## Hazard Ratios > 1 represent pathway scores associated with High-Risk
## Covariate and Reference Variable: Responder Referencing FALSE
## Covariate Breakdown:
### Variable: FALSE ( N = 157 )
### Variable: TRUE ( N = 221 )
variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
HALLMARK.COMPLEMENT.BIN	HALLMARK.COMPLEMENT.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.COMPLEMENT.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	87	122,269	0.61	0.215	-2.28	198	0.40	0.93	0.40, 0.93	0.023	0.598	9e-05	5e-05	3e-05	9e-05	7.5e-05	7.5e-05
HALLMARK.DNA.REPAIR.BIN	HALLMARK.DNA.REPAIR.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.DNA.REPAIR.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	107	97,178	0.88	0.207	-0.616	198	0.59	1.32	0.59, 1.32	0.5	0.61	2e-07	3e-06	9e-07	6e-07	3e-06	1.35e-06
HALLMARK.E2F.TARGETS.BIN	HALLMARK.E2F.TARGETS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.E2F.TARGETS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	99	102,892	0.86	0.203	-0.741	198	0.58	1.28	0.58, 1.28	0.5	0.594	6e-04	7e-04	5e-04	7e-04	7e-04	7e-04
HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.BIN	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	188	89	116,260	0.82	0.206	-0.945	198	0.55	1.23	0.55, 1.23	0.3	0.588	6e-04	6e-04	5e-04	6e-04	6e-04	6e-04
HALLMARK.ESTROGEN.RESPONSE.EARLY.BIN	HALLMARK.ESTROGEN.RESPONSE.EARLY.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.EARLY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	100	109,651	0.59	0.208	-2.55	198	0.39	0.88	0.39, 0.88	0.011	0.604	5e-06	5e-06	2e-06	5e-06	5e-06	5e-06
HALLMARK.ESTROGEN.RESPONSE.LATE.BIN	HALLMARK.ESTROGEN.RESPONSE.LATE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.ESTROGEN.RESPONSE.LATE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	92	110,825	0.60	0.209	-2.45	198	0.40	0.90	0.40, 0.90	0.014	0.59	9e-05	4e-05	3e-05	9e-05	6e-05	6e-05
HALLMARK.FATTY.ACID.METABOLISM.BIN	HALLMARK.FATTY.ACID.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.FATTY.ACID.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	100	108,277	0.54	0.225	-2.71	198	0.35	0.85	0.35, 0.85	0.007	0.612	7e-08	3e-07	8e-08	1.2e-07	3e-07	1.2e-07
HALLMARK.G2M.CHECKPOINT.BIN	HALLMARK.G2M.CHECKPOINT.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.G2M.CHECKPOINT.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	96	104,240	1.03	0.204	0.155	198	0.69	1.54	0.69, 1.54	0.9	0.572	0.002	0.002	0.002	0.002	0.002	0.002
HALLMARK.GLYCOLYSIS.BIN	HALLMARK.GLYCOLYSIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.GLYCOLYSIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	110	101,384	0.89	0.209	-0.561	198	0.59	1.34	0.59, 1.34	0.6	0.614	4e-08	2e-06	4e-07	1.2e-07	2e-06	6e-07
HALLMARK.HEDGEHOG.SIGNALING.BIN	HALLMARK.HEDGEHOG.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.HEDGEHOG.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	190	100	112,233	1.22	0.207	0.98	198	0.82	1.84	0.82, 1.84	0.3	0.583	7e-04	7e-04	5e-04	7e-04	7e-04	7e-04
HALLMARK.HEME.METABOLISM.BIN	HALLMARK.HEME.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.HEME.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	95	116,307	0.45	0.223	-3.53	198	0.29	0.70	0.29, 0.70	<0.001	0.598	5e-07	2e-07	7e-08	5e-07	3e-07	2.1e-07
HALLMARK.HYPOXIA.BIN	HALLMARK.HYPOXIA.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.HYPOXIA.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	102	108,005	0.71	0.211	-1.65	198	0.47	1.07	0.47, 1.07	0.10	0.602	7e-06	2e-05	9e-06	1.35e-05	2e-05	1.35e-05
HALLMARK.IL2.STAT5.SIGNALING.BIN	HALLMARK.IL2.STAT5.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.IL2.STAT5.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	90	119,355	0.52	0.221	-2.92	198	0.34	0.81	0.34, 0.81	0.003	0.581	3e-05	1e-05	6e-06	3e-05	1.5e-05	1.5e-05
HALLMARK.IL6.JAK.STAT3.SIGNALING.BIN	HALLMARK.IL6.JAK.STAT3.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.IL6.JAK.STAT3.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	88	119,800	0.64	0.217	-2.03	198	0.42	0.98	0.42, 0.98	0.042	0.59	2e-04	2e-04	1e-04	2e-04	2e-04	2e-04
HALLMARK.INFLAMMATORY.RESPONSE.BIN	HALLMARK.INFLAMMATORY.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.INFLAMMATORY.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	92	115,969	0.62	0.213	-2.21	198	0.41	0.95	0.41, 0.95	0.027	0.582	2e-04	1e-04	7e-05	2e-04	0.00015	0.00015
HALLMARK.INTERFERON.ALPHA.RESPONSE.BIN	HALLMARK.INTERFERON.ALPHA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.INTERFERON.ALPHA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	83	124,405	0.55	0.222	-2.71	198	0.35	0.85	0.35, 0.85	0.007	0.606	1e-05	8e-06	4e-06	1e-05	1e-05	1e-05
HALLMARK.INTERFERON.GAMMA.RESPONSE.BIN	HALLMARK.INTERFERON.GAMMA.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.INTERFERON.GAMMA.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	83	124,992	0.55	0.218	-2.73	198	0.36	0.84	0.36, 0.84	0.006	0.603	1e-05	6e-06	3e-06	1e-05	9e-06	9e-06
HALLMARK.KRAS.SIGNALING.DN.BIN	HALLMARK.KRAS.SIGNALING.DN.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.KRAS.SIGNALING.DN.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	97	116,283	1.34	0.212	1.39	198	0.89	2.03	0.89, 2.03	0.2	0.599	2e-05	4e-05	2e-05	3e-05	4e-05	3e-05
HALLMARK.KRAS.SIGNALING.UP.BIN	HALLMARK.KRAS.SIGNALING.UP.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.KRAS.SIGNALING.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	88	119,151	0.58	0.212	-2.56	198	0.38	0.88	0.38, 0.88	0.010	0.592	8e-05	3e-05	2e-05	8e-05	4.5e-05	4.5e-05
HALLMARK.MITOTIC.SPINDLE.BIN	HALLMARK.MITOTIC.SPINDLE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.MITOTIC.SPINDLE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	91	113,485	1.55	0.210	2.07	198	1.02	2.33	1.02, 2.33	0.038	0.602	1e-07	9e-07	3e-07	3e-07	9e-07	4.5e-07
HALLMARK.MTORC1.SIGNALING.BIN	HALLMARK.MTORC1.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.MTORC1.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	100	106,442	0.60	0.220	-2.33	198	0.39	0.92	0.39, 0.92	0.020	0.609	4e-07	1e-06	5e-07	7.5e-07	1e-06	7.5e-07
HALLMARK.MYC.TARGETS.V1.BIN	HALLMARK.MYC.TARGETS.V1.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.MYC.TARGETS.V1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	106	98,437	0.90	0.206	-0.508	198	0.60	1.35	0.60, 1.35	0.6	0.604	3e-06	2e-05	8e-06	9e-06	2e-05	1.2e-05
HALLMARK.MYC.TARGETS.V2.BIN	HALLMARK.MYC.TARGETS.V2.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.MYC.TARGETS.V2.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	105	104,266	1.15	0.203	0.688	198	0.77	1.71	0.77, 1.71	0.5	0.585	9e-04	9e-04	7e-04	9e-04	9e-04	9e-04
HALLMARK.MYOGENESIS.BIN	HALLMARK.MYOGENESIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.MYOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	186	94	113,495	0.73	0.204	-1.51	198	0.49	1.10	0.49, 1.10	0.13	0.579	8e-04	6e-04	4e-04	8e-04	8e-04	8e-04
HALLMARK.NOTCH.SIGNALING.BIN	HALLMARK.NOTCH.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.NOTCH.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	187	93	108,781	0.77	0.204	-1.26	198	0.52	1.15	0.52, 1.15	0.2	0.581	0.001	8e-04	7e-04	0.001	0.001	0.001
HALLMARK.OXIDATIVE.PHOSPHORYLATION.BIN	HALLMARK.OXIDATIVE.PHOSPHORYLATION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.OXIDATIVE.PHOSPHORYLATION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	105	100,715	0.88	0.208	-0.587	198	0.59	1.33	0.59, 1.33	0.6	0.6	4e-06	2e-05	1e-05	1.2e-05	2e-05	1.5e-05
HALLMARK.P53.PATHWAY.BIN	HALLMARK.P53.PATHWAY.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.P53.PATHWAY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	101	110,791	0.55	0.212	-2.84	198	0.36	0.83	0.36, 0.83	0.005	0.603	7e-07	9e-07	3e-07	9e-07	9e-07	9e-07
HALLMARK.PANCREAS.BETA.CELLS.BIN	HALLMARK.PANCREAS.BETA.CELLS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.PANCREAS.BETA.CELLS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	102	104,461	0.66	0.212	-1.99	198	0.43	0.99	0.43, 0.99	0.047	0.602	1e-06	4e-06	2e-06	3e-06	4e-06	3e-06
HALLMARK.PEROXISOME.BIN	HALLMARK.PEROXISOME.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.PEROXISOME.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	105	107,619	0.58	0.228	-2.39	198	0.37	0.91	0.37, 0.91	0.017	0.613	2e-09	7e-08	1e-08	6e-09	7e-08	1.5e-08
HALLMARK.PI3K.AKT.MTOR.SIGNALING.BIN	HALLMARK.PI3K.AKT.MTOR.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.PI3K.AKT.MTOR.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	96	111,807	0.51	0.230	-2.90	198	0.33	0.81	0.33, 0.81	0.004	0.599	1e-06	1e-06	6e-07	1e-06	1e-06	1e-06
HALLMARK.PROTEIN.SECRETION.BIN	HALLMARK.PROTEIN.SECRETION.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.PROTEIN.SECRETION.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	110	100,927	0.79	0.208	-1.13	198	0.53	1.19	0.53, 1.19	0.3	0.611	4e-08	1e-06	2e-07	1.2e-07	1e-06	3e-07
HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.BIN	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	97	110,361	0.51	0.221	-3.09	198	0.33	0.78	0.33, 0.78	0.002	0.608	3e-07	4e-07	1e-07	4e-07	4e-07	3e-07
HALLMARK.SPERMATOGENESIS.BIN	HALLMARK.SPERMATOGENESIS.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.SPERMATOGENESIS.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	99	109,719	1.90	0.212	3.03	198	1.25	2.88	1.25, 2.88	0.002	0.611	7e-07	7e-07	2e-07	7e-07	7e-07	6e-07
HALLMARK.TGF.BETA.SIGNALING.BIN	HALLMARK.TGF.BETA.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.TGF.BETA.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	189	91	118,674	0.80	0.203	-1.11	198	0.54	1.19	0.54, 1.19	0.3	0.596	2e-04	3e-04	2e-04	3e-04	3e-04	3e-04
HALLMARK.TNFA.SIGNALING.VIA.NFKB.BIN	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.TNFA.SIGNALING.VIA.NFKB.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	86	120,090	0.51	0.220	-3.07	198	0.33	0.78	0.33, 0.78	0.002	0.595	2e-05	6e-06	3e-06	2e-05	9e-06	9e-06
HALLMARK.UNFOLDED.PROTEIN.RESPONSE.BIN	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.UNFOLDED.PROTEIN.RESPONSE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	184	106	104,517	0.74	0.214	-1.42	198	0.48	1.12	0.48, 1.12	0.2	0.61	2e-07	2e-06	7e-07	6e-07	2e-06	1.05e-06
HALLMARK.UV.RESPONSE.DN.BIN	HALLMARK.UV.RESPONSE.DN.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.UV.RESPONSE.DN.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	193	94	115,300	1.33	0.208	1.36	198	0.88	1.99	0.88, 1.99	0.2	0.603	1e-05	4e-05	2e-05	3e-05	4e-05	3e-05
HALLMARK.UV.RESPONSE.UP.BIN	HALLMARK.UV.RESPONSE.UP.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.UV.RESPONSE.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	183	100	112,451	0.48	0.228	-3.21	198	0.31	0.75	0.31, 0.75	0.001	0.618	3e-08	8e-08	2e-08	4.5e-08	8e-08	4.5e-08
HALLMARK.WNT.BETA.CATENIN.SIGNALING.BIN	HALLMARK.WNT.BETA.CATENIN.SIGNALING.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.WNT.BETA.CATENIN.SIGNALING.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	191	96	113,425	0.95	0.204	-0.237	198	0.64	1.42	0.64, 1.42	0.8	0.576	0.002	0.002	0.001	0.002	0.002	0.002
HALLMARK.XENOBIOTIC.METABOLISM.BIN	HALLMARK.XENOBIOTIC.METABOLISM.BIN	dichotomous	FALSE	level	FALSE	378	198	378	prop_hazard	HR	High_AboveMedian	HALLMARK.XENOBIOTIC.METABOLISM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	185	93	114,293	0.78	0.211	-1.17	198	0.52	1.18	0.52, 1.18	0.2	0.575	0.001	0.001	8e-04	0.001	0.001	0.001
